Node,Gauge
Beardsley Reservoir,USGS 11292800 BEARDSLEY LAKE NEAR STRAWBERRY CA
Donnells Reservoir,USGS 11292600 DONNELL LK NR DARDANELLE CA
Lyons Reservoir,USGS 11297700 LYONS RES NR LONG BARN CA
New Melones Lake,USGS 11299000 NEW MELONES RES NR SONORA CA
New Spicer Meadow Reservoir,USGS 11293770 NEW SPICER MEADOW RES NR BIG MEADOW CA
Pinecrest Reservoir,USGS 11295900 PINECREST LK NR STRAWBERRY CA
Relief Reservoir,USGS 11291000 RELIEF RES NR BAKER STATION CA
Lake Tulloch,USGS 11299995 TULLOCH RES NR KNIGHTS FERRY CA
Union-Utica Reservoir,USGS UNION-UTICA
IFR bl Angels Div,USGS 11298700 ANGELS C BL UTICA D DIV DAM NR MURPHYS CA
STN_07 Inflow,USGS 11294500 NF STANISLAUS R NR AVERY CA
Beardsley PH,USGS 11292820 BEARDSLEY PH NR STRAWBERRY CA
Beaver Creek Diversion,USGS 11295230 BEAVER CR BL DIV DAM NR ARNOLD CA
IFR bl Beaver Creek Diversion Dam,BEAVER CR BEL DIV DAM NR ARNOLD CA_11295230
IFR bl McKays Point Div,USGS 11295270 NF STANISLAUS R BL MCKAYS POINT DAM NR AVERY CA
STN_19 Inflow,USGS 11292500 CLARK FORK STANISLAUS R NR DARDANELLE CA
Phoenix PH,Gauge_Phoenix
IFR bl New Spicer Meadow Reservoir,USGS 11294000 HIGHLAND C BL SPICER MEADOWS RES CA
STN_12 Inflow,USGS 11293700 HOBART C AT NF DIV TUNNL OUTLT NR SPICER MDWS CA
Sand Bar PH,USGS 11292860 JW SOUTHERN PP A SND BAR DIV DAM NR LNG BRN CA
STN_17 Inflow,USGS 11292700 MF STANISLAUS R A HELLS HALF ACRE BRIDGE CA
IFR at Murphys Park,USGS 11298650 ANGELS C BL MURPHYS AFTERBAY NR MURPHYS CA
IFR bl Donnell Lake,USGS 11292615 MF STANISLAUS R LOW FLOW REL BL DONNELL LAKE
Summit Ck Inflow,USGS 11292000 MF STANISLAUS R AT KENNEDY MDWS NR DARDANELLE CA
IFR bl Beardsley Afterbay,USGS 11292900 MF STANISLAUS R BL BEARDSLEY DAM CA
IFR bl Sand Bar Div,USGS 11293200 MF STANISLAUS R BL SND BAR DIV DAM NR AVERY CA
Upper Collierville Tunnel Inflow,USGS 11293710 NF STANISLAUS DIV TU OL BL HOBART C NR NSMD CA
IFR bl confluence of NF Stanislaus and Beaver Creek,USGS 11295300 NF STANISLAUS R BL BEAVER C NR HATHAWAY PINES CA
IFR bl NF Stanislaus Div Res,USGS 11293600 NF STANISLAUS R BL DIV D
STN_09 Inflow,USGS 11293500 NF STANISLAUS R BL SILVER C CA
IFR bl Pinecrest Lake,USGS 11296500 SF STANISLAUS R A STRAWBERRY CA
IFR bl Lyons Res,USGS 11298000 SF STANISLAUS R NR LONG BARN CA
Philadelphia Aquaduct Outflow,USGS 11297200 SF STANISLAUS R NR STRAWBERRY CA
Donnells PH,USGS 11292610 DONNELL PH NR STRAWBERRY CA
Upper Collierville Tunnel 1,USGS 11293580 NF STANISLAUS R DIV TUNNEL NR BIG MDW CA
Collierville PH,USGS 11295250 COLLIERVILLE PP NR MURPHYS CA
Stanislaus PH,USGS 11295505 STANISLAUS PP NR HATHAWAY PINES CA
Spring Gap PH,USGS 11297000 PHILADELPHIA CN NR STRAWBERRY CA
Cherry Lake,USGS 11277200 CHERRY LK NR HETCH HETCHY CA
Don Pedro Reservoir,USGS 11287500 DON PEDRO RES NR LA GRANGE CA
Hetch Hetchy Reservoir,USGS 11275500 HETCH HETCHY RES A HETCH HETCHY CA
Water Bank,Water Bank
Lake Eleanor,USGS 11277500 LK ELEANOR NR HETCH HETCHY CA
Dion R Holm PH,Holm PH
Kirkwood PH,Kirkwood PH
Moccasin PH,Moccasin PH
SFPUC,SJPL
IFR bl Hetch Hetchy Reservoir,USGS 11276500 TUOLUMNE R NR HETCH HETCHY CA
TUO_12 Inflow,USGS 11276600 TUOLUMNE R AB EARLY INTAKE NR MATHER CA
Hetch Hetchy Aquaduct Outflow,USGS 11276900 TUOLUMNE R BL EARLY INTAKE NR MATHER CA
IFR bl Cherry Lake,USGS 11277300 CHERRY C BL VALLEY DAM NR HETCH HETCHY CA
IFR bl Lake Eleanor,USGS 11278000 ELEANOR C NR HETCH HETCHY CA
TUO_08 Inflow,USGS 11278300 CHERRY C NR EARLY INTAKE CA
Dion R Holm Tunnel Inflow,USGS 11278400 CHERRY C BL DION R HOLM PH NR MATHER CA
TUO_15 Inflow,USGS 11281000 SF TUOLUMNE R NR OAKLAND RECREATION CAMP CA
TUO_14 Inflow,USGS 11282000 M TUOLUMNE R A OAKLAND RECREATION CAMP CA
TUO_06 Inflow,USGS 11283250 CLAVEY R NR LONG BARN CA
TUO_07 Inflow,USGS 11283350 REED C NR LONG BARN CA
TUO_05 Inflow,USGS 11283500 CLAVEY R NR BUCK MEADOWS CA
TUO_17 Inflow,USGS 11284400 BIG C AB WHITES GULCH NR GROVELAND CA
TUO_04 Inflow,USGS 11284700 NF TUOLUMNE R NR LONG BARN CA
