"","Year","DS_Tim_Julian","DS_Dur_WS","DS_Tim","__summer_no_flow_counts","__summer_durations_flush","DS_Mag_50","DS_Mag_90","FA_Dur_Julian","FA_Dur","FA_Mag","Wet_Tim_Julian","FA_Tim","Wet_Tim","SP_ROC","SP_Tim_Julian","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Peak_Tim_10_Julian","Peak_Tim_50_Julian","Peak_Tim_20_Julian","Peak_Tim_2_Julian","Peak_Tim_5_Julian","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1","1971",129,NA,220,NA,NA,NA,NA,275,1,60.9991857892015,325,1,51,0.0821802935010482,6,123,2490,97,46,201,1505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8413,2900,7340,NA,NA,NA
"2","1972",131,NA,222,NA,NA,NA,NA,288,4,1449.76344539565,NA,14,NA,0.0336605890603086,45,86,666,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8413,2900,7340,NA,NA,NA
"3","1973",237,NA,328,NA,NA,NA,NA,275,2,1369.94464988633,NA,1,NA,0.0905172413793103,33,204,801,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8413,2900,7340,NA,NA,NA
"4","1974",213,69,304,0,63,566,1712,276,0,1879.99279974657,NA,2,NA,0.120639534883721,34,179,1750,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8413,2900,7340,NA,NA,NA
"5","1975",230,NA,321,NA,NA,NA,NA,275,2,1050.00240188066,281,1,7,0.153846153846154,35,195,3080,126,119,543,900,NA,NA,NA,24.5,NA,NA,115.5,NA,NA,6,NA,8413,2900,7340,NA,6,NA
"6","1976",102,NA,193,NA,NA,NA,NA,282,3,1419.99962001396,NA,8,NA,0.0192307692307692,9,93,2730,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8413,2900,7340,NA,NA,NA
"7","1977",130,325,221,16,NA,9.4,37.2,279,4,177.018444824127,NA,5,NA,0.0338164251207729,76,54,212,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8413,2900,7340,NA,NA,NA
"8","1978",231,114,322,0,45,408,697.5,NA,NA,NA,89,NA,180,0.104341736694678,135,96,3140,226,46,262.5,1305,NA,NA,NA,126,NA,NA,217,NA,NA,10,NA,8413,2900,7340,NA,2,NA
"9","1979",236,110,327,0,39,481,1441,275,4,3649.95658510919,344,1,70,0.188636245246653,78,158,3370,169,99,399,2440,NA,NA,NA,43,NA,NA,134,NA,NA,43,NA,8413,2900,7340,NA,11,NA
"10","1980",192,NA,283,NA,NA,NA,NA,274,2,860.999865841486,345,0,71,0.0760869565217391,82,110,7280,173,102,571.2,4660,NA,NA,NA,94,NA,NA,185,NA,NA,77,NA,8413,2900,7340,NA,4,NA
"11","1981",230,156,321,0,46,223,658.5,276,-1,2620.00505775011,NA,2,NA,0.165403337969402,12,218,2800,103,NA,NA,NA,NA,NA,NA,6,NA,NA,97,NA,NA,2,NA,8413,2900,7340,NA,2,NA
"12","1982",227,97,318,0,NA,2710,3320,275,1,328.998862976916,20,1,111,0.0802047781569966,129,98,8130,220,109,1684,4480,NA,NA,NA,180,104,NA,271,195,NA,116,29,8413,2900,7340,NA,3,1
"13","1983",214,NA,305,NA,NA,NA,NA,NA,NA,NA,323,NA,49,0.018957345971564,152,62,9900,243,194,4043,5490,100,NA,125,302,78,191,28,169,60,299,74,8413,2900,7340,4,5,3
"14","1984",156,168,247,0,134,17,485.1,NA,NA,NA,NA,NA,NA,0.0943396226415094,10,146,8010,101,NA,NA,NA,NA,NA,NA,307,364.5,NA,33,90.5,NA,135,10,8413,2900,7340,NA,2,2
"15","1985",259,136,350,0,31,346,600.5,289,2,1360.00339909245,323,15,49,0.133333333333333,356,268,2750,82,33,474.2,1760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8413,2900,7340,NA,NA,NA
