"","p10","p25","p50","p75","p90","metric","comid","result_type","gage_id"
"DS_Tim_Julian",133.8,159,178,230,252.6,"DS_Tim_Julian",2823750,"observed",11289650
"DS_Dur_WS",100.6,136,168,288,298.8,"DS_Dur_WS",2823750,"observed",11289650
"DS_Tim",224.8,250,269,321,343.6,"DS_Tim",2823750,"observed",11289650
"X__summer_no_flow_counts",0,0,0,0,0,"X__summer_no_flow_counts",2823750,"observed",11289650
"X__summer_durations_flush",37.4,60,122,134,142,"X__summer_durations_flush",2823750,"observed",11289650
"DS_Mag_50",37,101,167,324,437.2,"DS_Mag_50",2823750,"observed",11289650
"DS_Mag_90",124.72,161,257,485.1,994.899999999999,"DS_Mag_90",2823750,"observed",11289650
"FA_Dur_Julian",275,276,287,290,293.4,"FA_Dur_Julian",2823750,"observed",11289650
"FA_Dur",-0.4,2,3,4,7,"FA_Dur",2823750,"observed",11289650
"FA_Mag",173.004276740024,328.998862976916,678.000038851416,1179.91104461268,1437.90328281381,"FA_Mag",2823750,"observed",11289650
"Wet_Tim_Julian",22.1,55.25,89.5,319.75,332.8,"Wet_Tim_Julian",2823750,"observed",11289650
"FA_Tim",1,2,13,16,19.4,"FA_Tim",2823750,"observed",11289650
"Wet_Tim",7,51.25,106.5,166,180,"Wet_Tim",2823750,"observed",11289650
"SP_ROC",0.0191760845789282,0.0369760748336032,0.0821802935010482,0.113482800982801,0.142475893109383,"SP_ROC",2823750,"observed",11289650
"SP_Tim_Julian",28.8,78,125,140,171.2,"SP_Tim_Julian",2823750,"observed",11289650
"SP_Dur",23.6,36,71,123,196.8,"SP_Dur",2823750,"observed",11289650
"SP_Mag",661.2,1190,2730,6360,8242,"SP_Mag",2823750,"observed",11289650
"SP_Tim",101.8,156,213,226,243.8,"SP_Tim",2823750,"observed",11289650
"Wet_BFL_Dur",35.1,46,87,148.5,202.2,"Wet_BFL_Dur",2823750,"observed",11289650
"Wet_BFL_Mag_10",115.9,168.5,291.25,564.15,1721.8,"Wet_BFL_Mag_10",2823750,"observed",11289650
"Wet_BFL_Mag_50",152.4,253.875,1405,4245,4924,"Wet_BFL_Mag_50",2823750,"observed",11289650
"Peak_Tim_10_Julian",36,42,100,130,142.9,"Peak_Tim_10_Julian",2823750,"observed",11289650
"Peak_Tim_50_Julian",3,3,3,3,3,"Peak_Tim_50_Julian",2823750,"observed",11289650
"Peak_Tim_20_Julian",16.4,38,74,99.5,114.8,"Peak_Tim_20_Julian",2823750,"observed",11289650
"Peak_Tim_2_Julian",34.6,74,118.5,166,305,"Peak_Tim_2_Julian",2823750,"observed",11289650
"Peak_Tim_5_Julian",32.1,45.375,81,103.5,134.1,"Peak_Tim_5_Julian",2823750,"observed",11289650
"Peak_Tim_10",127,133,191,221,233.9,"Peak_Tim_10",2823750,"observed",11289650
"Peak_Tim_2",45.8,115.5,166.5,217,236.8,"Peak_Tim_2",2823750,"observed",11289650
"Peak_Tim_5",112.55,126.5,156.25,188.5,195.45,"Peak_Tim_5",2823750,"observed",11289650
"Peak_Dur_10",22.4,23,37,60,88.8,"Peak_Dur_10",2823750,"observed",11289650
"Peak_Dur_2",5,25,77,135,187.4,"Peak_Dur_2",2823750,"observed",11289650
"Peak_Dur_5",9.4,13.75,36.5,53.75,79.5,"Peak_Dur_5",2823750,"observed",11289650
"Peak_10",8413,8413,8413,8413,8413,"Peak_10",2823750,"observed",11289650
"Peak_2",2900,2900,2900,2900,2900,"Peak_2",2823750,"observed",11289650
"Peak_5",7340,7340,7340,7340,7340,"Peak_5",2823750,"observed",11289650
"Peak_Fre_10",3.4,4,4,4,4.6,"Peak_Fre_10",2823750,"observed",11289650
"Peak_Fre_2",1,2,3,6,7,"Peak_Fre_2",2823750,"observed",11289650
"Peak_Fre_5",1,2,2.5,4.5,6,"Peak_Fre_5",2823750,"observed",11289650
