"","p10","p25","p50","p75","p90","metric","comid","result_type"
"DS_Dur_WS",116.1,139.75,168,190.25,204.9,"DS_Dur_WS",21607271,"observed"
"DS_Tim",267.6,284,297,303,326.7,"DS_Tim",21607271,"observed"
"DS_Mag_50",43.542745,46.8631875,53.64195,67.9070125,90.53375,"DS_Mag_50",21607271,"observed"
"DS_Mag_90",102.292398,141.0029625,252.848895,454.573992500001,737.587884,"DS_Mag_90",21607271,"observed"
"FA_Dur",2,2,3,4,5.2,"FA_Dur",21607271,"observed"
"FA_Mag",91.7896903949738,148.329145308201,383.7740012682,970.113385638713,2836.54474912304,"FA_Mag",21607271,"observed"
"FA_Tim",2,7,13,25,35.2,"FA_Tim",21607271,"observed"
"SP_ROC",0.0627157789589286,0.0723620212278793,0.0801168653799549,0.0943970612455737,0.105644294179152,"SP_ROC",21607271,"observed"
"SP_Dur",37.6,47.25,58,66.75,84.4,"SP_Dur",21607271,"observed"
"SP_Mag",3308.06737,4873.9664,7725.53585,11171.494,16222.20295,"SP_Mag",21607271,"observed"
"SP_Tim",208,224.25,238,250.5,265.7,"SP_Tim",21607271,"observed"
"Wet_BFL_Dur",85.2,112,145,174,204,"Wet_BFL_Dur",21607271,"observed"
"Wet_BFL_Mag_10",60.785324,97.23805,214.77851,652.68138,1047.140464,"Wet_BFL_Mag_10",21607271,"observed"
"Wet_BFL_Mag_50",829.541,1404.23325,2518.73065,3274.0025,4150.18558,"Wet_BFL_Mag_50",21607271,"observed"
"Wet_Tim",39.2,70,92,121,135.8,"Wet_Tim",21607271,"observed"
"Peak_Tim_10",66.1,91.75,115.5,138.75,152.1,"Peak_Tim_10",21607271,"observed"
"Peak_Tim_2",73.9,101.75,126.5,160.5,178.85,"Peak_Tim_2",21607271,"observed"
"Peak_Tim_5",88.7,106.5,131,139.5,152.4,"Peak_Tim_5",21607271,"observed"
"Peak_Dur_10",1,1,1,2,2.1,"Peak_Dur_10",21607271,"observed"
"Peak_Dur_2",1,1,2,5.25,8.3,"Peak_Dur_2",21607271,"observed"
"Peak_Dur_5",1,1,1,2,2.4,"Peak_Dur_5",21607271,"observed"
"Peak_10",50747.7649800001,50747.7649800001,50747.7649800001,50747.7649800001,50747.7649800001,"Peak_10",21607271,"observed"
"Peak_2",15704.6403,15704.6403,15704.6403,15704.6403,15704.6403,"Peak_2",21607271,"observed"
"Peak_5",30395.98334,30395.98334,30395.98334,30395.98334,30395.98334,"Peak_5",21607271,"observed"
"Peak_Fre_10",1,1,1,1,1,"Peak_Fre_10",21607271,"observed"
"Peak_Fre_2",1,1,2,3,4,"Peak_Fre_2",21607271,"observed"
"Peak_Fre_5",1,1,1,1,2,"Peak_Fre_5",21607271,"observed"
