"","Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1","2006",116,305,30.751,201.4039,NA,NA,NA,0.075277261134876,55,5189.9881,250,175,92.8800800000001,1017.4169,75,NA,101,NA,NA,1,NA,71285.3046,11779.4155,43594.21074,NA,1,NA
"2","2007",119,270,45.3807,61.24366,8,71.6913616117672,38,0.0570692663186547,61,980.1194,209,154,56.50874,372.12605,55,NA,NA,NA,NA,NA,NA,71285.3046,11779.4155,43594.21074,NA,NA,NA
"3","2008",139,291,31.6204,63.19834,NA,NA,NA,0.0328606923106943,82,776.513,209,186,36.5822,81.8928,23,NA,NA,NA,NA,NA,NA,71285.3046,11779.4155,43594.21074,NA,NA,NA
"4","2009",227,319,52.3053,353.34548,2,233.064312940506,37,0.0641864922767449,62,4904.3146,257,193,127.18978,1040.5849,64,NA,90,NA,NA,1,NA,71285.3046,11779.4155,43594.21074,NA,1,NA
"5","2010",130,312,31.60105,103.69952,6,564.588787764441,23,0.0749669007499056,47,7423.4624,265,85,301.62928,2204.1934,180,NA,NA,NA,NA,NA,NA,71285.3046,11779.4155,43594.21074,NA,NA,NA
"6","2011",165,340,45.2332,623.33128,2,381.370041960865,20,0.0442263216206438,92,2228.8935,248,172,82.213,491.64385,76,NA,NA,NA,NA,NA,NA,71285.3046,11779.4155,43594.21074,NA,NA,NA
"7","2012",188,300,46.5224,128.49971,2,247.947222921216,36,0.0741554584743371,48,5339.9587,252,113,440.34372,1925.0738,139,NA,NA,NA,NA,NA,NA,71285.3046,11779.4155,43594.21074,NA,NA,NA
"8","2013",202,300,73.5577,710.30496,2,394.283086167328,36,0.0790765998942135,41,3663.2787,259,137,204.61642,913.6088,122,NA,NA,NA,NA,NA,NA,71285.3046,11779.4155,43594.21074,NA,NA,NA
"9","2014",195,294,72.0624,411.48996,4,4937.69672633693,20,0.0796905454707887,54,8256.2167,240,104,352.77436,1455.3712,136,NA,NA,NA,NA,NA,NA,71285.3046,11779.4155,43594.21074,NA,NA,NA
"10","2015",148,302,31.80095,318.75578,2,1028.79476607881,15,0.0700484137690265,59,4602.6174,243,120,436.14812,2054.94305,123,NA,144,NA,NA,1,NA,71285.3046,11779.4155,43594.21074,NA,1,NA
"11","2016",122,320,39.37305,90.61808,2,1415.61536175925,45,0.0699512291670472,81,7945.6693,239,155,317.8617,924.9845,84,NA,NA,NA,NA,NA,NA,71285.3046,11779.4155,43594.21074,NA,NA,NA
"12","2017",141,298,29.3466,72.6739,4,350.567875905322,34,0.0577916178095916,68,1301.2554,230,154,58.71338,274.7697,76,NA,NA,NA,NA,NA,NA,71285.3046,11779.4155,43594.21074,NA,NA,NA
"13","2018",100,297,28.7481,73.80931,3,111.742626736194,33,0.0638262242458086,62,7116.1808,235,162,60.00584,677.7629,73,NA,94,NA,NA,1,NA,71285.3046,11779.4155,43594.21074,NA,1,NA
"14","2019",182,321,61.6918,238.73416,3,1699.53581607263,19,0.0624992376332577,54,2306.4665,267,236,109.2084,433.1094,31,NA,NA,NA,NA,NA,NA,71285.3046,11779.4155,43594.21074,NA,NA,NA
"15","2020",110,341,27.5508,975.653030000001,3,1294.53396022353,17,0.0411990328869667,115,2365.7182,226,89,176.21924,1015.5693,137,NA,NA,NA,NA,NA,NA,71285.3046,11779.4155,43594.21074,NA,NA,NA
"16","2021",49,336,61.0555,122.21272,4,1403.59720719602,48,0.0760897598870534,79,14899.6428,257,172,1767.77381,3631.1845,85,NA,130,NA,NA,22,NA,71285.3046,11779.4155,43594.21074,NA,3,NA
"17","2022",86,337,45.48645,104.618,2,179.030865720143,9,0.083358429370768,86,12029.3478,251,232,340.21768,3449.11725,19,NA,138,NA,NA,10,NA,71285.3046,11779.4155,43594.21074,NA,5,NA
"18","2023",253,266,67.5725,216.92102,2,692.133182686026,4,0.0552220804863914,47,2086.2915,219,162,45.97102,220.4227,57,NA,NA,NA,NA,NA,NA,71285.3046,11779.4155,43594.21074,NA,NA,NA
