"","Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1","2006",139,316,72.5419,147.9742,NA,NA,NA,0.0718768504171527,57,4300.576,259,156,105.0709,2284.65615,103,NA,129,NA,NA,2,NA,67565.7649,18125.92225,45732.6888,NA,1,NA
"2","2007",NA,328,NA,NA,4,269.724304027603,9,0.0884971766643773,50,7795.0322,278,189,524.43278,2134.2789,89,NA,108,NA,NA,1,NA,67565.7649,18125.92225,45732.6888,NA,1,NA
"3","2008",204,258,35.5243,1003.19303,6,563.931924716657,0,0.0708466845326642,39,952.7766,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67565.7649,18125.92225,45732.6888,NA,NA,NA
"4","2009",147,324,65.5334,147.3091,3,410.399307952398,9,0.0769657191431095,48,4768.8104,276,180,907.90424,2299.1521,96,NA,NA,NA,NA,NA,NA,67565.7649,18125.92225,45732.6888,NA,NA,NA
"5","2010",104,293,34.83,406.85068,3,193.210515572647,12,0.0677823007832069,77,1989.6091,216,111,72.9183,310.4482,105,NA,NA,NA,NA,NA,NA,67565.7649,18125.92225,45732.6888,NA,NA,NA
"6","2011",158,327,105.79605,532.3323,2,653.630891618743,13,0.0712981008475824,67,9808.8416,260,229,672.69106,2849.0714,31,NA,69,NA,NA,2,NA,67565.7649,18125.92225,45732.6888,NA,1,NA
"7","2012",168,262,40.1058,350.6609,2,326.813891104655,0,0.0504821950858007,30,5973.3655,232,113,206.50534,2428.7548,119,NA,NA,NA,NA,NA,NA,67565.7649,18125.92225,45732.6888,NA,NA,NA
"8","2013",117,331,112.7612,301.1547,8,822.533759976522,40,0.0711509135727098,68,6983.9344,263,199,374.12848,2623.7789,64,NA,113,NA,NA,2,NA,67565.7649,18125.92225,45732.6888,NA,1,NA
"9","2014",139,319,64.969,243.07018,2,701.499720661709,58,0.0792747741758619,67,9224.6881,252,170,789.56528,2770.0092,82,NA,132,NA,NA,2,NA,67565.7649,18125.92225,45732.6888,NA,1,NA
"10","2015",113,316,62.7443,723.756559999999,9,107.55653103706,0,0.0601665657235391,105,9430.375,211,119,49.75084,1914.7099,92,NA,NA,NA,NA,NA,NA,67565.7649,18125.92225,45732.6888,NA,NA,NA
