"","max","min","ten","fifty","ninty","twenty_five","seventy_five","days"
"1",0.8,0,0.02,0.04,0.16,0.02,0.07,1
"2",0.56,0,0.02,0.04,0.19,0.02,0.07,2
"3",0.46,0,0.02,0.04,0.18,0.02,0.07,3
"4",0.65,0,0.02,0.04,0.2,0.02,0.07,4
"5",0.52,0,0.02,0.04,0.16,0.02,0.07,5
"6",2.63,0,0.02,0.04,0.16,0.02,0.07,6
"7",7.1,0,0.02,0.04,0.16,0.02,0.07,7
"8",1.64,0,0.02,0.04,0.18,0.02,0.07,8
"9",1.19,0,0.02,0.04,0.18,0.02,0.08,9
"10",2.23,0,0.02,0.04,0.18,0.02,0.09,10
"11",0.96,0,0.02,0.04,0.19,0.02,0.08,11
"12",0.48,0,0.02,0.04,0.17,0.02,0.07,12
"13",0.46,0,0.02,0.04,0.15,0.02,0.07,13
"14",0.46,0,0.02,0.04,0.17,0.02,0.07,14
"15",1.03,0,0.02,0.04,0.16,0.02,0.07,15
"16",6.44,0,0.02,0.04,0.18,0.02,0.08,16
"17",5.31,0,0.02,0.04,0.22,0.02,0.08,17
"18",2.24,0,0.02,0.04,0.26,0.02,0.09,18
"19",1.68,0,0.02,0.04,0.21,0.02,0.08,19
"20",1.57,0,0.02,0.04,0.22,0.02,0.09,20
"21",2.42,0,0.02,0.04,0.24,0.02,0.1,21
"22",0.85,0,0.02,0.04,0.23,0.02,0.09,22
"23",0.77,0,0.02,0.04,0.33,0.02,0.09,23
"24",2.75,0,0.02,0.04,0.31,0.02,0.1,24
"25",7.94,0,0.02,0.04,0.26,0.02,0.09,25
"26",2.04,0,0.02,0.04,0.23,0.02,0.08,26
"27",2.73,0,0.02,0.04,0.17,0.02,0.08,27
"28",5.42,0,0.02,0.04,0.33,0.03,0.09,28
"29",10.76,0,0.02,0.04,0.34,0.03,0.1,29
"30",5.85,0,0.02,0.04,0.28,0.02,0.1,30
"31",5.75,0,0.02,0.04,0.22,0.02,0.08,31
"32",1.46,0,0.02,0.04,0.34,0.02,0.09,32
"33",3.03,0,0.02,0.04,0.28,0.03,0.09,33
"34",3.35,0,0.02,0.05,0.28,0.02,0.1,34
"35",2.91,0,0.02,0.04,0.21,0.02,0.08,35
"36",0.62,0,0.02,0.05,0.25,0.02,0.09,36
"37",3.04,0,0.02,0.04,0.28,0.02,0.09,37
"38",3.59,0,0.02,0.05,0.27,0.02,0.11,38
"39",9.68,0,0.02,0.05,0.26,0.03,0.09,39
"40",12.99,0,0.02,0.06,0.49,0.03,0.15,40
"41",4.5,0,0.02,0.06,0.51,0.04,0.2,41
"42",10.73,0,0.02,0.05,0.54,0.03,0.16,42
"43",11.86,0,0.02,0.06,0.81,0.03,0.22,43
"44",6.23,0,0.02,0.06,0.7,0.03,0.17,44
"45",5.53,0,0.02,0.06,0.45,0.03,0.16,45
"46",5.21,0,0.02,0.06,0.75,0.03,0.21,46
"47",5.32,0,0.02,0.07,1.09,0.03,0.33,47
"48",10.9,0,0.02,0.08,0.69,0.03,0.23,48
"49",24.7,0,0.02,0.07,0.5,0.03,0.19,49
"50",9.61,0,0.02,0.07,0.68,0.03,0.23,50
"51",3.37,0,0.02,0.1,0.85,0.03,0.31,51
"52",4.32,0,0.02,0.07,1.06,0.03,0.26,52
"53",4.01,0,0.02,0.09,0.93,0.03,0.33,53
"54",11.17,0,0.02,0.09,0.67,0.04,0.27,54
"55",3.69,0,0.03,0.1,0.89,0.04,0.29,55
"56",14.25,0,0.02,0.08,0.75,0.04,0.19,56
"57",7.01,0,0.02,0.08,0.65,0.04,0.23,57
"58",4.5,0,0.03,0.09,0.81,0.04,0.28,58
"59",7.55,0,0.03,0.09,1.01,0.04,0.25,59
"60",4.81,0,0.03,0.1,1.17,0.04,0.33,60
"61",14.1,0,0.03,0.09,0.75,0.05,0.23,61
"62",7.25,0,0.03,0.09,1.13,0.05,0.38,62
"63",8.2,0,0.03,0.11,1.29,0.06,0.43,63
"64",6.5,0,0.03,0.1,0.91,0.05,0.34,64
"65",10.98,0,0.04,0.1,1.31,0.06,0.39,65
"66",20.74,0,0.04,0.11,1.18,0.06,0.37,66
"67",8.21,0,0.04,0.14,1.6,0.07,0.53,67
"68",8.18,0,0.04,0.16,1.28,0.06,0.62,68
"69",4.07,0,0.03,0.12,1.38,0.06,0.4,69
"70",20.74,0,0.04,0.16,0.81,0.06,0.36,70
"71",8.85,0,0.04,0.15,1.24,0.06,0.39,71
"72",15.03,0,0.04,0.13,2.11,0.05,0.54,72
"73",16.23,0,0.04,0.14,1.49,0.06,0.42,73
"74",15.63,0,0.04,0.17,1.44,0.06,0.46,74
"75",7.09,0,0.04,0.17,1.28,0.07,0.63,75
"76",11.43,0,0.04,0.16,1.05,0.06,0.41,76
"77",14.44,0,0.04,0.21,1.13,0.08,0.52,77
"78",5.59,0,0.04,0.17,1.63,0.06,0.55,78
"79",10.17,0,0.04,0.17,1.5,0.07,0.5,79
"80",16.34,0,0.04,0.16,1.46,0.07,0.73,80
"81",3.7,0,0.05,0.16,1.77,0.08,0.49,81
"82",15.12,0,0.05,0.16,1.74,0.07,0.72,82
"83",52.36,0,0.04,0.13,1.79,0.06,0.97,83
"84",20.11,0,0.05,0.19,3.05,0.07,0.77,84
"85",23.02,0,0.05,0.18,1.31,0.08,0.49,85
"86",8.03,0,0.05,0.16,1.28,0.07,0.59,86
"87",27.81,0,0.05,0.17,1.95,0.08,0.7,87
"88",5.62,0,0.05,0.19,2.16,0.08,0.83,88
"89",20.99,0,0.05,0.19,1.92,0.08,0.72,89
"90",13.97,0,0.05,0.18,2.18,0.09,0.75,90
"91",38.74,0,0.05,0.29,2.16,0.09,1.12,91
"92",5.96,0,0.05,0.31,2.72,0.09,1.25,92
"93",6.33,0.03,0.05,0.25,1.78,0.08,0.92,93
"94",10.26,0.03,0.05,0.25,1.86,0.08,0.8,94
"95",20.41,0.03,0.05,0.24,1.68,0.09,0.9,95
"96",7.15,0.03,0.06,0.3,1.63,0.12,0.85,96
"97",26.64,0.03,0.05,0.31,1.58,0.11,0.78,97
"98",20.33,0.03,0.05,0.3,2,0.1,0.81,98
"99",7.32,0.03,0.06,0.31,1.81,0.11,0.94,99
"100",5.28,0.04,0.07,0.26,1.49,0.12,0.83,100
"101",4.3,0.04,0.06,0.4,1.76,0.15,0.8,101
"102",20.86,0.04,0.07,0.35,2.24,0.12,1.02,102
"103",7.33,0.03,0.07,0.37,2.06,0.16,1.07,103
"104",29.05,0.03,0.08,0.5,2.25,0.18,1.08,104
"105",3.61,0.03,0.08,0.45,2.1,0.18,0.99,105
"106",9.59,0.04,0.07,0.43,2.26,0.17,1.04,106
"107",21.44,0.04,0.07,0.54,2.4,0.15,1.11,107
"108",7.08,0.04,0.08,0.58,2.84,0.18,1.54,108
