"","max","min","ten","fifty","ninty","twenty_five","seventy_five","days"
"1",0.37,0,0.02,0.04,0.15,0.02,0.09,1
"2",0.29,0,0.02,0.04,0.13,0.02,0.07,2
"3",0.27,0,0.02,0.04,0.12,0.02,0.07,3
"4",0.71,0,0.02,0.04,0.14,0.02,0.08,4
"5",0.27,0,0.02,0.04,0.12,0.02,0.07,5
"6",0.27,0,0.02,0.04,0.12,0.02,0.07,6
"7",0.47,0,0.02,0.04,0.16,0.02,0.07,7
"8",0.53,0,0.02,0.04,0.12,0.02,0.06,8
"9",0.43,0,0.02,0.04,0.17,0.02,0.07,9
"10",1.66,0,0.02,0.04,0.15,0.02,0.07,10
"11",1.56,0,0.02,0.04,0.18,0.02,0.07,11
"12",0.46,0,0.02,0.04,0.16,0.02,0.09,12
"13",0.48,0,0.02,0.04,0.19,0.02,0.07,13
"14",0.51,0,0.02,0.04,0.18,0.02,0.08,14
"15",0.33,0,0.02,0.04,0.15,0.02,0.09,15
"16",0.86,0,0.02,0.04,0.2,0.02,0.09,16
"17",1.32,0,0.02,0.04,0.19,0.02,0.1,17
"18",1.77,0,0.02,0.04,0.15,0.02,0.09,18
"19",4.96,0,0.02,0.04,0.18,0.02,0.09,19
"20",4.29,0,0.02,0.04,0.19,0.02,0.09,20
"21",19.43,0,0.02,0.04,0.19,0.02,0.08,21
"22",1.98,0,0.02,0.05,0.19,0.02,0.1,22
"23",1.54,0,0.02,0.05,0.28,0.02,0.12,23
"24",1.9,0,0.02,0.05,0.25,0.02,0.11,24
"25",5.62,0,0.02,0.05,0.26,0.02,0.11,25
"26",1.51,0,0.02,0.05,0.29,0.02,0.12,26
"27",2.44,0,0.02,0.05,0.4,0.02,0.11,27
"28",2.82,0,0.02,0.05,0.24,0.02,0.11,28
"29",2.72,0,0.02,0.05,0.25,0.02,0.1,29
"30",1.92,0,0.02,0.05,0.22,0.03,0.11,30
"31",1.78,0,0.02,0.05,0.14,0.03,0.08,31
"32",6.28,0,0.02,0.04,0.25,0.03,0.09,32
"33",3.39,0,0.02,0.05,0.24,0.03,0.1,33
"34",4.82,0,0.02,0.04,0.28,0.03,0.11,34
"35",2.15,0,0.02,0.04,0.26,0.03,0.1,35
"36",2.25,0,0.02,0.05,0.48,0.03,0.14,36
"37",1.2,0,0.02,0.05,0.42,0.03,0.11,37
"38",2.88,0,0.02,0.05,0.28,0.03,0.1,38
"39",1.97,0,0.02,0.05,0.28,0.03,0.13,39
"40",2.5,0,0.02,0.05,0.34,0.03,0.1,40
"41",3.02,0,0.02,0.05,0.63,0.03,0.13,41
"42",14.08,0,0.02,0.07,0.81,0.03,0.2,42
"43",7.96,0,0.02,0.06,0.82,0.03,0.29,43
"44",9.91,0,0.02,0.07,0.7,0.03,0.18,44
"45",4.41,0,0.02,0.07,0.96,0.04,0.17,45
"46",4.17,0,0.02,0.08,0.67,0.04,0.18,46
"47",5.43,0,0.02,0.07,0.6,0.04,0.24,47
"48",3.79,0,0.02,0.08,0.75,0.04,0.22,48
"49",3.3,0,0.02,0.1,0.84,0.04,0.28,49
"50",10.44,0,0.02,0.09,1.05,0.04,0.28,50
"51",51.79,0,0.02,0.08,1.12,0.04,0.27,51
"52",10.75,0,0.02,0.08,1.35,0.04,0.3,52
"53",20.24,0,0.02,0.08,1.01,0.04,0.26,53
"54",10.38,0,0.02,0.09,0.8,0.04,0.26,54
"55",7.35,0,0.02,0.08,0.79,0.03,0.24,55
"56",16.03,0,0.02,0.09,1.1,0.03,0.3,56
"57",7.67,0,0.02,0.11,1.37,0.04,0.33,57
"58",6.58,0,0.03,0.1,0.89,0.04,0.34,58
"59",5.15,0,0.02,0.1,1.8,0.04,0.31,59
"60",9.97,0,0.03,0.08,1.3,0.04,0.38,60
"61",6.73,0,0.03,0.11,1.1,0.05,0.28,61
"62",11.98,0,0.04,0.15,0.98,0.06,0.47,62
"63",7.54,0,0.04,0.13,1.8,0.07,0.34,63
"64",9.51,0,0.04,0.12,1.38,0.06,0.41,64
"65",25.62,0,0.04,0.14,1.81,0.07,0.54,65
"66",21.74,0,0.04,0.12,1.74,0.06,0.39,66
"67",6.58,0,0.04,0.12,1.05,0.07,0.32,67
"68",7.18,0,0.04,0.13,0.78,0.06,0.32,68
"69",5.52,0,0.04,0.12,0.88,0.07,0.39,69
"70",18.99,0,0.04,0.11,0.81,0.06,0.32,70
"71",26.68,0,0.04,0.12,0.75,0.06,0.32,71
"72",8.65,0,0.04,0.12,1.44,0.05,0.35,72
"73",8.74,0,0.04,0.1,1.12,0.05,0.35,73
"74",7.61,0,0.03,0.1,1.11,0.05,0.35,74
"75",4.99,0,0.04,0.13,0.82,0.06,0.32,75
"76",14.38,0,0.04,0.11,0.76,0.05,0.26,76
"77",22.31,0,0.04,0.13,0.64,0.06,0.27,77
"78",5.87,0,0.04,0.14,0.93,0.06,0.29,78
"79",9.15,0,0.04,0.14,1.44,0.07,0.38,79
"80",10.67,0,0.05,0.19,1.46,0.09,0.46,80
"81",20.83,0,0.06,0.2,2.08,0.09,0.66,81
"82",8.63,0,0.05,0.16,1.74,0.08,0.58,82
"83",7.51,0,0.05,0.15,1.44,0.07,0.4,83
"84",26.03,0,0.06,0.21,0.98,0.1,0.46,84
"85",10.64,0,0.06,0.19,1.94,0.09,0.47,85
"86",30.49,0,0.06,0.2,1.75,0.09,0.43,86
"87",51.11,0,0.06,0.2,0.89,0.09,0.47,87
"88",20.72,0,0.05,0.18,1.2,0.08,0.44,88
"89",21.59,0,0.06,0.18,1.38,0.09,0.45,89
"90",4.34,0,0.06,0.16,1.05,0.09,0.37,90
"91",41.24,0,0.06,0.17,0.86,0.1,0.44,91
"92",28.89,0,0.05,0.21,1.81,0.09,0.62,92
"93",5.48,0.02,0.04,0.14,1.05,0.07,0.36,93
"94",11.97,0.02,0.04,0.14,1.13,0.07,0.4,94
"95",8.85,0.02,0.04,0.14,1.27,0.07,0.49,95
"96",5.95,0.02,0.05,0.15,1.39,0.07,0.51,96
"97",10.52,0.02,0.06,0.16,1.38,0.07,0.69,97
"98",8.88,0.02,0.05,0.16,1.71,0.07,0.56,98
"99",6.05,0.02,0.04,0.15,1.61,0.07,0.55,99
"100",14.6,0.02,0.04,0.18,1.48,0.06,0.53,100
"101",25.12,0.02,0.04,0.16,1.38,0.06,0.61,101
"102",7.73,0.02,0.05,0.15,1.56,0.06,0.55,102
"103",5.91,0.02,0.05,0.21,1.25,0.08,0.63,103
"104",11.12,0.03,0.06,0.23,1.38,0.09,0.73,104
"105",11.73,0.03,0.05,0.22,1.64,0.08,0.71,105
"106",21.4,0.03,0.05,0.23,1.53,0.09,0.62,106
"107",12.17,0.03,0.06,0.2,1.53,0.09,0.7,107
"108",8.84,0.03,0.06,0.25,1.5,0.1,0.83,108
"109",13.42,0.03,0.06,0.22,1.42,0.09,0.85,109
"110",6.6,0.03,0.06,0.24,1.56,0.11,0.8,110
"111",9.31,0.03,0.06,0.36,1.71,0.11,0.96,111
"112",9.6,0.04,0.07,0.39,2.16,0.12,0.99,112
"113",15.28,0.04,0.06,0.38,2.33,0.12,0.9,113
"114",10.14,0.04,0.06,0.34,1.83,0.14,0.98,114
"115",17.74,0.03,0.07,0.34,1.74,0.14,0.81,115
"116",39.55,0.04,0.07,0.4,1.96,0.17,0.91,116
"117",9.48,0.05,0.07,0.38,2.2,0.18,1.11,117
"118",16.96,0.04,0.06,0.41,2.28,0.13,1.08,118
"119",38.88,0.04,0.06,0.43,2.77,0.14,1.18,119
"120",8.36,0.05,0.09,0.46,2.51,0.16,1.33,120
"121",15.28,0.05,0.09,0.61,2.51,0.18,1.32,121
"122",8.02,0.05,0.1,0.61,2.05,0.26,1.31,122
"123",36.13,0.05,0.13,0.6,2.39,0.23,1.29,123
"124",25.75,0.06,0.15,0.69,2.57,0.25,1.55,124
"125",9.87,0.06,0.15,0.74,2.87,0.23,1.58,125
"126",4.47,0.06,0.16,0.85,2.43,0.36,1.59,126
"127",6.24,0.07,0.16,0.63,2.31,0.29,1.51,127
"128",12.48,0.07,0.17,0.83,2.59,0.3,1.66,128
"129",8.41,0.07,0.16,0.8,2.34,0.35,1.51,129
"130",5.11,0.06,0.15,0.73,2.25,0.31,1.43,130
"131",9.71,0.07,0.18,0.69,2.59,0.37,1.43,131
"132",23.04,0.07,0.2,0.72,2.55,0.39,1.56,132
"133",7.78,0.1,0.21,0.8,2.54,0.36,1.57,133
"134",4.75,0.06,0.25,0.98,2.41,0.39,1.54,134
"135",7,0.05,0.22,0.95,2.49,0.43,1.48,135
"136",7.98,0.06,0.21,0.7,2.55,0.42,1.43,136
"137",11.52,0.07,0.18,0.75,2.25,0.4,1.73,137
"138",18.71,0.07,0.27,0.8,2.23,0.46,1.77,138
"139",4.91,0.06,0.31,0.87,2.45,0.48,1.72,139
"140",5.96,0.06,0.26,1.02,2.58,0.49,1.76,140
"141",7.47,0.07,0.25,0.95,2.64,0.43,1.74,141
"142",7.14,0.08,0.28,0.93,2.6,0.5,1.74,142
"143",6.8,0.09,0.24,0.97,2.62,0.48,1.84,143
"144",17.32,0.14,0.28,1.14,2.76,0.5,1.84,144
"145",9.69,0.1,0.32,1.09,3.03,0.53,1.97,145
"146",13.55,0.08,0.31,0.98,2.14,0.53,1.51,146
"147",29.3,0.08,0.31,0.99,2.41,0.47,1.7,147
"148",21.8,0.06,0.32,1.07,2.45,0.47,1.73,148
"149",10.57,0.06,0.27,1.08,2.17,0.49,1.64,149
"150",5.3,0.09,0.35,1.02,2.28,0.57,1.62,150
"151",5.23,0.11,0.36,1.1,2.43,0.64,1.71,151
"152",14.78,0.1,0.3,1.16,2.56,0.57,1.72,152
"153",7.83,0.09,0.35,1.24,2.92,0.63,1.81,153
"154",6.41,0.11,0.49,1.26,2.67,0.71,1.73,154
"155",13.42,0.11,0.5,1.35,3.11,0.76,1.96,155
"156",6.86,0.23,0.6,1.36,2.81,0.94,1.91,156
"157",21.04,0.23,0.55,1.24,2.82,0.9,1.94,157
"158",6.16,0.15,0.55,1.24,2.98,0.8,1.95,158
"159",8.37,0.15,0.49,1.26,2.79,0.74,1.89,159
"160",10.97,0.15,0.48,1.21,2.74,0.68,1.95,160
"161",20.4,0.28,0.55,1.26,2.45,0.84,1.81,161
"162",15.53,0.27,0.56,1.34,2.63,0.88,1.96,162
"163",8.01,0.21,0.59,1.32,2.7,0.92,2.13,163
"164",15.36,0.18,0.59,1.32,2.87,0.88,2.07,164
"165",6.65,0.23,0.56,1.24,2.62,0.8,2,165
"166",16.7,0.24,0.62,1.29,2.26,0.84,1.82,166
"167",7.2,0.26,0.62,1.35,2.66,0.89,1.96,167
"168",10.03,0.23,0.7,1.3,3.23,0.95,1.99,168
"169",7.34,0.2,0.69,1.34,3.55,0.99,2.07,169
"170",6.52,0.27,0.84,1.41,2.96,1.07,2.09,170
"171",4.46,0.44,0.64,1.56,2.56,1.01,1.97,171
"172",6.57,0.35,0.63,1.48,2.83,0.98,2.04,172
"173",9.16,0.41,0.68,1.48,2.86,1.04,2.1,173
"174",4.61,0.48,0.82,1.47,2.76,1.06,2.31,174
"175",6.65,0.42,0.88,1.64,3.09,1.22,2.36,175
"176",6.21,0.4,0.91,1.61,2.94,1.23,2.22,176
"177",8.58,0.39,0.9,1.6,3.16,1.16,2.44,177
"178",15.49,0.48,0.95,1.7,3.42,1.19,2.35,178
"179",10.22,0.41,0.94,1.63,3.75,1.2,2.35,179
"180",6.39,0.53,0.89,1.61,3.82,1.11,2.51,180
"181",6.83,0.56,0.81,1.62,3.98,1.13,2.55,181
"182",12.05,0.63,0.83,1.66,4.33,1.13,2.55,182
"183",12.32,0.58,0.87,1.72,4.7,1.18,2.77,183
"184",19.13,0.66,0.94,1.8,4.13,1.29,2.7,184
"185",14.39,0.61,0.96,1.79,3.83,1.28,2.64,185
"186",10.91,0.6,1.02,1.87,3.78,1.37,2.85,186
"187",16.92,0.57,0.97,2.01,4.4,1.36,3,187
"188",6.04,0.61,1.11,1.92,3.76,1.45,2.86,188
"189",7.18,0.57,1.08,1.95,4.14,1.45,2.93,189
"190",6.78,0.49,0.95,1.99,4.13,1.35,3,190
"191",7.58,0.46,0.88,2.02,4.09,1.27,2.9,191
"192",7.07,0.51,0.88,2.04,3.94,1.25,2.83,192
"193",9.94,0.6,0.92,2.09,4.75,1.39,3.26,193
"194",6.75,0.56,0.91,2.1,4.86,1.42,3.49,194
"195",6.49,0.45,0.86,2,5.02,1.39,3.21,195
"196",6.63,0.41,0.95,2.06,4.21,1.45,3.02,196
"197",7.59,0.58,0.92,2.12,4,1.49,2.98,197
"198",8.04,0.57,0.96,2.18,4.58,1.5,2.95,198
"199",6.94,0.58,0.97,2.3,3.96,1.53,3.03,199
"200",6.37,0.54,1.05,2.25,4.1,1.64,3.1,200
"201",6.24,0.52,1,2.25,4.21,1.48,2.94,201
"202",7.48,0.52,0.93,2.19,3.97,1.51,3.23,202
"203",8.6,0.55,0.95,2.13,3.94,1.46,3.18,203
"204",7.93,0.47,0.92,2.15,3.8,1.52,3.03,204
"205",6.72,0.5,1,2.08,3.9,1.38,2.96,205
"206",6.34,0.5,0.97,2.02,3.9,1.4,3.04,206
"207",8.16,0.51,0.97,1.96,4.24,1.41,3.16,207
"208",8.82,0.51,1.01,2.05,4.57,1.43,2.91,208
"209",8.5,0.52,1.02,2.25,4.59,1.46,3.09,209
"210",7.46,0.53,1,2.23,4.61,1.49,3.17,210
"211",7.05,0.6,1.03,2.1,4.31,1.48,3.2,211
"212",8.72,0.67,1.1,2.29,4.52,1.62,3.45,212
"213",11.36,0.67,1.2,2.46,4.76,1.71,3.54,213
"214",11.84,0.83,1.27,2.58,4.77,1.77,3.39,214
"215",13.27,0.78,1.23,2.57,4.6,1.77,3.44,215
