"","comid","metric","p10","p25","p50","p75","p90","source","result_type"
"39169",348435,"Peak_Dur_2",1,1,3,8,18.8,"inferred","predicted"
"109889",348435,"Peak_Dur_5",1,1.25,2.5,3,5.7,"inferred","predicted"
"180609",348435,"Peak_Fre_2",1,1,2,3,5,"inferred","predicted"
"251329",348435,"Peak_Fre_5",1,1,1,2,3,"inferred","predicted"
"284830",348435,"Peak_10",17979.4710441899,27689.2117347272,29155.3944349191,30229.9063102215,32861.8136970401,"model","predicted"
"425076",348435,"Peak_2",7244.5436104193,10132.1614346072,12541.6657266574,13780.516712748,13970.5394167416,"model","predicted"
"565322",348435,"Peak_5",13008.8615445983,17173.3466229616,22109.5110376082,22707.5055897716,24432.1146884931,"model","predicted"
"19501000",348435,"DS_Dur_WS",105.833333333333,127.729166666667,152.5,178.85,199.02,"model","predicted"
"1421961",348435,"DS_Mag_50",196.871447714703,290.256416936451,376.725497499223,466.227711094555,544.9048431125,"model","predicted"
"2824421",348435,"DS_Mag_90",305.373474489191,441.049521101388,593.569794742992,815.087998757814,1090.78292474613,"model","predicted"
"4226881",348435,"DS_Tim",283,291.291666666667,301.6625,315.65625,331,"model","predicted"
"6001531",348435,"FA_Dur",2,2,3,4.5,6.5,"obs","predicted"
"6336541",348435,"FA_Mag",356.336512449402,516.882759514241,813.615563096126,1201.67567381201,1960.67281334447,"model","predicted"
"773900",348435,"FA_Tim",6.09,13.09375,25,36.5,48,"model","predicted"
"1372103",348435,"Peak_Dur_10",1,1,1,3,3.6,"obs","predicted"
"1584263",348435,"Peak_Fre_10",1,1,1,1,1,"obs","predicted"
"1759204",348435,"SP_Dur",44.3225,54.4,63.2916666666667,77.925,102.608333333333,"model","predicted"
"1899450",348435,"SP_Mag",3577.42333731574,4644.99713358105,6040.73337767665,8066.67110101224,12716.5155417928,"model","predicted"
"2076915",348435,"SP_ROC",0.0112125536495315,0.0138458831808586,0.0423051409618574,0.0567460317460317,0.0614253234964019,"obs","predicted"
"2110416",348435,"SP_Tim",215.795,229.875,238.791666666667,245.558333333334,255.129166666666,"model","predicted"
"2250662",348435,"Wet_BFL_Dur",78.97,102.575,136.245833333334,165.625,189.6625,"model","predicted"
"2390908",348435,"Wet_BFL_Mag_10",407.605893150179,538.256843851032,759.426507680384,957.894856905004,1103.92479742596,"model","predicted"
"2531154",348435,"Wet_BFL_Mag_50",1191.67484676066,1807.54935382546,2152.0623659526,2757.60617460124,3676.63070404552,"model","predicted"
"2671400",348435,"Wet_Tim",49.7125,74.5125,89.4166666666667,109.4,130.275,"model","predicted"
