WY,flow
2006,1044.1212795161573
2007,1423.820308447256
2008,1925.8185212764945
2009,675.3265434690818
2010,2315.0142736804346
2011,254.81418789739894
2012,3235.123137199782
2013,489.9783437984178
2014,1927.9407094886392
2015,1578.9284355176953
2016,1368.003941508535
2017,447.1194780612863
2018,1283.2637931010643
2019,1863.409944624185
2020,557.3169841500029
2021,479.56171914352785
2022,1711.97555160219
2023,2637.0395825844103
2024,3133.1997708473664
2025,1803.6946069648695
2026,2547.2779995328647
2027,1512.3847855873482
2028,2618.6176074351256
2029,1331.0401306507601
2030,2462.4000011834305
2031,818.7934445108234
2032,945.1216041209659
2033,1163.9649500897337
2034,1318.3156121157704
2035,542.1113378407778
2036,691.7272213615284
2037,1245.9093012160956
2038,1429.8240335483072
2039,770.2752033054066
2040,1370.8330262326078
2041,1412.5483518150536
2042,1210.539397504729
2043,1213.5870326661804
2044,313.39078524364965
2045,1266.4206881917207
2046,1212.1465323950858
2047,2426.435042011625
2048,1288.7447094394633
2049,630.3106374306815
2050,1347.8180001535325
2051,1169.3818648016272
2052,1991.1844756051105
2053,585.1252308973638
2054,1006.823517231604
2055,1358.0797386075512
2056,145.40523547015658
2057,1420.888002391372
2058,721.0293496716062
2059,409.4822218259551
2060,735.4209840027341
2061,1193.4849743608254
2062,566.6086822421377
2063,273.4036414424217
2064,506.21791096452256
2065,886.7229801696323
2066,2159.492704072653
2067,380.3409733525053
2068,1786.014151743742
2069,1481.8706446202573
2070,175.16758015246063
2071,443.4266234063276
2072,167.7323318450697
2073,1733.6811690464585
2074,734.0562685195542
2075,1233.3094188028674
2076,877.2802412240247
2077,1107.8913952725775
2078,675.4354366172422
2079,445.33921803074736
2080,1221.4771995152312
2081,769.9778919390797
2082,695.4174088835117
2083,1219.1760141797895
2084,474.7949413666481
2085,520.6353001694443
2086,1485.6742953416374
2087,916.8798797239647
2088,347.2960127078782
2089,1386.9631228202586
2090,1186.0024898653678
2091,521.7212613737257
2092,1408.1360865156123
2093,802.5666338602222
2094,1070.2693826329075
2095,375.8934914433774
2096,745.1376189055939
2097,1613.8876373205946
2098,864.8679429239369
2099,1521.914745150626
2100,49.12200515601092
