"","max","min","ten","fifty","ninty","twenty_five","seventy_five","days"
"1",0.42,0,0.01,0.02,0.1,0.02,0.04,1
"2",0.89,0,0.01,0.02,0.13,0.02,0.04,2
"3",0.65,0,0.01,0.02,0.08,0.02,0.04,3
"4",2.63,0,0.01,0.02,0.07,0.02,0.04,4
"5",5.52,0,0.01,0.02,0.07,0.02,0.04,5
"6",1.77,0,0.01,0.02,0.15,0.02,0.05,6
"7",3.21,0,0.01,0.02,0.1,0.02,0.05,7
"8",3.03,0,0.01,0.03,0.13,0.02,0.05,8
"9",3.23,0,0.01,0.03,0.13,0.02,0.04,9
"10",3.33,0,0.01,0.02,0.09,0.02,0.04,10
"11",2.17,0,0.01,0.02,0.11,0.02,0.05,11
"12",3.84,0,0.01,0.02,0.16,0.02,0.05,12
"13",2.57,0,0.01,0.02,0.12,0.02,0.04,13
"14",4.92,0,0.01,0.02,0.12,0.02,0.05,14
"15",4.71,0,0.01,0.02,0.12,0.02,0.05,15
"16",1.47,0,0.01,0.02,0.12,0.02,0.07,16
"17",1.66,0,0.01,0.03,0.18,0.02,0.05,17
"18",1.11,0,0.01,0.03,0.16,0.02,0.07,18
"19",2.48,0,0.01,0.03,0.14,0.02,0.07,19
"20",4.21,0,0.01,0.03,0.17,0.02,0.08,20
"21",2.57,0,0.01,0.03,0.43,0.02,0.07,21
"22",8.69,0,0.01,0.03,0.16,0.02,0.07,22
"23",2.35,0,0.01,0.03,0.17,0.02,0.07,23
"24",2.42,0,0.01,0.03,0.18,0.02,0.07,24
"25",6.8,0,0.01,0.03,0.3,0.02,0.1,25
"26",4.54,0,0.01,0.03,0.2,0.02,0.07,26
"27",4.9,0,0.01,0.04,0.5,0.02,0.13,27
"28",3.5,0,0.01,0.03,0.52,0.02,0.11,28
"29",2.97,0,0.01,0.04,0.33,0.02,0.1,29
"30",4.88,0,0.01,0.04,0.17,0.02,0.08,30
"31",5.91,0,0.01,0.04,0.29,0.02,0.09,31
"32",10.62,0,0.01,0.04,0.21,0.02,0.08,32
"33",9.11,0,0.01,0.04,0.33,0.02,0.09,33
"34",7.54,0,0.01,0.03,0.42,0.02,0.09,34
"35",2.8,0,0.01,0.04,0.21,0.02,0.08,35
"36",4.86,0,0.01,0.04,0.2,0.02,0.07,36
"37",2.12,0,0.01,0.04,0.17,0.02,0.09,37
"38",1.94,0,0.01,0.05,0.27,0.02,0.11,38
"39",1.42,0,0.02,0.04,0.34,0.02,0.14,39
"40",1.3,0,0.02,0.05,0.4,0.02,0.14,40
"41",2.55,0,0.02,0.04,0.45,0.02,0.12,41
"42",3.99,0,0.02,0.05,0.63,0.02,0.13,42
"43",8.42,0,0.01,0.05,0.58,0.02,0.1,43
"44",24.95,0,0.01,0.05,0.41,0.02,0.14,44
"45",42.59,0,0.01,0.05,0.6,0.02,0.15,45
"46",27.9,0,0.02,0.06,0.76,0.03,0.17,46
"47",13.3,0,0.02,0.05,0.89,0.03,0.19,47
"48",4.57,0,0.02,0.06,1.89,0.03,0.29,48
"49",24.86,0,0.01,0.05,2.1,0.03,0.4,49
"50",41.62,0,0.02,0.07,1.91,0.03,0.29,50
"51",51.32,0,0.02,0.07,1.08,0.03,0.26,51
"52",36.21,0,0.02,0.07,1.16,0.03,0.18,52
"53",33.55,0,0.02,0.08,1.18,0.03,0.27,53
"54",27.33,0,0.02,0.08,1.3,0.04,0.25,54
"55",10.93,0,0.02,0.07,0.85,0.03,0.21,55
"56",34.42,0,0.02,0.07,1.16,0.04,0.21,56
"57",27.27,0,0.02,0.1,1.26,0.04,0.22,57
"58",5.95,0,0.02,0.11,1.35,0.04,0.38,58
"59",6.8,0,0.02,0.11,1.05,0.04,0.41,59
"60",16.2,0,0.03,0.1,1.59,0.04,0.29,60
"61",39.32,0,0.03,0.09,0.88,0.04,0.24,61
"62",11.39,0,0.02,0.08,2.15,0.04,0.3,62
"63",23.71,0,0.02,0.08,2.4,0.03,0.26,63
"64",15.2,0,0.02,0.08,2.31,0.04,0.32,64
"65",20.89,0,0.02,0.1,1.65,0.04,0.61,65
"66",6.89,0,0.02,0.08,0.71,0.03,0.21,66
"67",6.68,0,0.02,0.09,1.17,0.04,0.26,67
"68",21.61,0,0.02,0.1,2.06,0.04,0.26,68
"69",3.66,0,0.03,0.1,1.55,0.04,0.19,69
"70",5.93,0,0.03,0.12,1.49,0.05,0.41,70
"71",7.56,0,0.03,0.14,1.89,0.05,0.41,71
"72",9.8,0,0.03,0.11,2.19,0.05,0.47,72
