"","Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1","2006",174,306,202.90005,1266.68624,NA,NA,NA,0.102271191544145,44,5132.3537,262,143,676.05528,3515.9403,119,NA,141,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"2","2007",180,307,52.8748,395.24791,2,432.901872773365,10,0.107846586858737,55,8362.1479,252,138,1277.61899,3661.888,114,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"3","2008",218,266,53.8238,201.49864,2,495.246340293283,10,0.0773422942113014,60,5713.2587,206,85,70.90142,1037.044,121,NA,340,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"4","2009",177,292,59.5652,293.58052,3,2884.21881395822,11,0.0922524886066067,40,5505.2823,252,134,223.77454,2530.8824,118,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"5","2010",211,271,84.5187,1010.0466,4,213.207397446529,18,NA,NA,96253.0901,NA,NA,NA,NA,103,325,325,325,1,1,1,58418.0634,19874.1952,37331.05616,1,1,1
"6","2011",158,326,36.925,125.09508,1,228.193319924513,0,0.106704766778745,43,13295.3549,283,167,1415.58598,3927.6554,116,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"7","2012",137,272,43.209,118.01508,2,96.2432081857116,10,0.112894535748746,40,7142.4124,232,114,215.32671,1372.8023,118,NA,145,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"8","2013",114,310,42.64005,139.78045,2,538.859969582591,7,0.0253319978919894,104,779.3826,206,163,36.13606,128.9188,43,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"9","2014",122,300,33.72985,173.85307,3,2318.72643098381,27,0.0562780365913802,210,12159.5874,90,32,47.93175,229.99145,58,85,84,85,1,2,1,58418.0634,19874.1952,37331.05616,1,1,1
"10","2015",204,267,56.81975,474.22438,2,1328.57357287601,11,0.057715749264817,47,1190.4973,220,164,46.18762,632.09085,56,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"11","2016",182,302,45.5812,124.48893,3,4249.24985965905,25,0.0931294469178162,58,13498.8295,244,139,923.90592,3253.1415,105,NA,142,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"12","2017",170,287,46.5055,184.72415,3,739.049014518733,1,0.0740856876638038,59,4392.529,228,110,187.63091,1488.6957,118,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"13","2018",173,318,57.994,304.338260000001,2,104.381870323484,20,0.0764891447789453,53,10693.487,265,174,1683.40559,4376.16495,91,NA,76,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"14","2019",175,307,53.5062,287.78504,3,345.899398196368,24,0.05675624915223,88,3793.819,219,94,161.18494,2931.64125,125,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"15","2020",134,302,55.2042,689.598320000001,2,4228.68641411396,27,0.0822059059961504,70,6704.8767,232,116,292.8173,2207.02535,116,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"16","2021",145,265,44.4174,139.5897,3,780.435006037536,17,0.0618271016530251,51,4079.2943,214,144,332.26283,2215.50695,70,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"17","2022",112,288,31.5838,77.21322,3,1485.77499560852,21,0.0634232624721253,110,3638.5901,178,134,74.24431,1588.4374,44,NA,76,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"18","2023",125,311,34.0746,420.062500000002,NA,NA,NA,0.0597069054844201,87,7968.3538,224,190,44.52003,2066.1778,34,NA,56,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"19","2024",138,309,32.0974,54.90379,2,579.967637265543,21,0.0690818873208358,77,9932.5965,232,162,775.98392,2434.1371,70,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"20","2025",138,290,41.42285,130.19426,6,65.1703390844066,45,0.0812003852070609,54,7012.4629,236,155,131.34058,2402.0395,81,NA,103,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"21","2026",94,313,36.964,168.3308,4,3897.2697515244,41,0.0782332421967427,57,8355.1898,256,194,1559.541,3216.96545,62,NA,149,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"22","2027",175,297,43.6874,235.8034,1,194.396682514274,17,0.0752274426349649,83,8525.0879,214,173,196.2203,2469.9965,41,NA,67,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"23","2028",186,297,52.7793,397.08005,6,252.906219861979,0,0.0701194520754155,61,5344.364,236,130,214.5561,2917.96085,106,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"24","2029",118,324,53.4277,255.20601,3,2843.19487274638,9,0.0773325659629372,77,5572.7004,247,130,709.04711,2616.63865,117,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"25","2030",195,272,47.1278,137.85452,5,276.20983482712,1,0.0858122325879572,47,4099.1518,225,149,210.3651,1767.0281,76,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"26","2031",197,293,44.3195,438.4322,1,790.351840551229,2,0.0688638905571759,45,6482.389,248,147,268.41894,2249.1514,101,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"27","2032",179,267,53.248,479.34108,1,111.815373403384,17,0.0674116435793289,59,7684.4416,208,84,395.21537,3504.7712,124,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"28","2033",128,295,47.8702,403.7487,2,858.291771859518,16,0.104323078243311,64,10194.5961,231,151,768.7375,2198.0194,80,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"29","2034",210,293,47.99375,221.74797,4,815.851003533483,0,0.0803227383720478,44,10600.9882,249,192,668.86781,2125.96465,57,NA,89,90,NA,3,2,58418.0634,19874.1952,37331.05616,NA,1,1
"30","2035",216,269,60.20165,630.355,4,1261.54750484196,50,0.0798792213670455,49,2496.7412,220,83,97.39764,1439.7171,137,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"31","2036",83,305,33.2331,63.16188,6,499.441085595914,28,0.0707466292104959,95,6320.8161,210,91,793.8458,1455.5092,119,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"32","2037",99,298,36.5301,135.5249,3,435.982492253551,5,0.0897976045079124,53,6130.7074,245,223,145.4096,3039.6938,22,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"33","2038",101,293,43.6499,85.996,8,87.7196940479307,0,0.0885056310661139,44,5028.0393,249,218,169.44332,3260.5144,31,NA,103,85,NA,4,1,58418.0634,19874.1952,37331.05616,NA,2,1
"34","2039",192,270,61.7189,272.916,2,210.856049893098,6,0.0701973678892637,45,3194.1601,225,197,51.2118,1107.1419,28,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"35","2040",114,271,43.51495,157.75776,2,8054.4533563418,19,0.0768852994813232,119,17474.4166,152,56,655.6376,4798.1981,96,NA,125,NA,NA,2,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"36","2041",185,274,43.4546,286.53974,3,392.463258452169,6,0.102057312841612,29,3521.0961,245,226,117.2747,1505.2046,19,NA,51.5,NA,NA,2,NA,58418.0634,19874.1952,37331.05616,NA,2,NA
"37","2042",109,289,40.32,301.64456,2,353.20543434054,38,0.0679188288825025,83,8618.1152,206,113,201.23488,2817.9414,93,NA,110,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"38","2043",169,318,52.8683,207.602260000002,4,485.97314089657,1,0.109199169804105,34,6156.2872,284,252,411.18244,2401.9736,32,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"39","2044",118,273,43.35795,97.50421,3,1273.67505730806,27,0.0710342803907396,39,4118.7575,234,113,234.54874,2603.0591,121,NA,141,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"40","2045",126,306,46.688,910.0915,4,94.862455424072,6,0.0642051141441153,59,4877.3507,247,222,148.66827,2243.2607,25,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"41","2046",112,318,58.1174,157.60194,1,86.5386358087955,5,0.110532620858072,41,10297.8723,277,211,3166.9643,5158.691,66,NA,186.5,NA,NA,5,NA,58418.0634,19874.1952,37331.05616,NA,4,NA
"42","2047",95,299,44.3426,90.41166,2,2089.56764043706,16,0.0849779413554314,75,8160.2319,224,160,91.96644,3694.9217,64,NA,99,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"43","2048",140,263,43.25655,87.94339,3,781.552036552811,13,0.0664543352567334,121,604.3206,142,114,32.38864,115.56185,28,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"44","2049",196,283,51.2701,584.52775,2,114.655407743241,11,0.0763375203320395,157,30462.3202,126,89,42.3259,2781.1875,37,NA,89.5,89.5,NA,4,3,58418.0634,19874.1952,37331.05616,NA,2,2
"45","2050",221,271,49.8503,312.0114,3,165.613098151844,5,0.0582963567862832,125,4384.3993,146,33,144.18444,250.0791,113,NA,137,NA,NA,2,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"46","2051",125,325,39.6097,663.56934,3,101.887568962722,14,0.0576387776167177,122,6429.3571,203,77,294.89322,2634.8236,126,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"47","2052",65,314,35.7017,66.35082,3,67.1051943754338,8,0.0803490769728247,76,9194.8294,238,154,2083.1081,3415.2655,84,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"48","2053",197,267,80.4395,276.4094,NA,NA,NA,0.0576605859395489,207,45031.5705,60,47,32.50238,89.2188,13,NA,53.5,53.5,NA,4,3,58418.0634,19874.1952,37331.05616,NA,2,2
"49","2054",107,289,44.5878,98.9642,4,4700.35772775648,9,0.0804160627399697,97,6176.8542,192,94,150.87256,1171.99495,98,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"50","2055",210,257,56.74555,276.60267,7,851.978842316321,13,0.0624163932532526,81,5573.0145,176,146,101.6499,738.6457,30,NA,53,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"51","2056",113,271,44.223,127.54096,8,295.44618978496,16,0.090429922389331,54,5457.3984,217,116,148.99415,2050.4136,101,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"52","2057",121,313,31.7881,75.6103,NA,NA,NA,0.0704173374063981,86,6924.9777,227,209,77.17236,4546.5008,18,NA,73,50,NA,3,1,58418.0634,19874.1952,37331.05616,NA,3,1
"53","2058",114,318,36.6073,174.30596,3,51.7897354473843,6,0.0816538099031437,61,8399.7626,257,189,1604.22742,4800.612,68,NA,129.5,101,NA,5,2,58418.0634,19874.1952,37331.05616,NA,4,2
"54","2059",112,296,32.2216,98.34859,2,68.4117838002511,24,0.0915499394567032,62,10262.3076,234,168,534.36551,3315.32435,66,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"55","2060",241,272,47.1125,260.5457,2,717.654930257056,23,0.0848261663674029,42,6229.0725,230,188,54.40459,946.60745,42,NA,67,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"56","2061",89,320,35.3735,81.1671200000001,3,403.452847069883,19,0.0791679750085665,104,7868.1708,216,69,118.99966,2448.4932,147,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"57","2062",164,300,44.93855,326.784190000001,2,1291.3038802704,7,0.0856376152123307,53,6937.9452,247,204,422.85155,3129.3978,43,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"58","2063",107,288,31.8867,90.72952,2,587.942335041881,18,0.0752133952408491,57,7284.8052,231,133,659.93648,3491.896,98,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"59","2064",160,270,42.87,118.49977,NA,NA,NA,0.0928394406409181,47,6874.6274,223,194,65.92027,663.0691,29,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"60","2065",150,286,43.0945,358.08524,3,3439.50322225123,52,0.0733430578654171,37,1974.3366,249,185,517.792420000001,1488.1108,64,NA,92,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"61","2066",147,311,49.6685,329.26654,11,127.803819972561,22,0.0931089530069721,45,7829.4537,266,196,1247.54695,4250.83515,70,NA,89,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"62","2067",219,260,42.6361,89.7693000000001,4,104.970710043077,5,0.0647047252720509,66,3839.9849,194,102,163.37366,1782.7306,92,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"63","2068",186,268,42.6455,71.87375,3,297.663092066839,17,0.0712126223012051,60,3509.6557,208,95,72.62984,780.8244,113,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"64","2069",173,261,47.9588,224.51446,2,1664.489095087,19,0.0814121304013667,82,2891.0057,179,91,43.5176,608.6194,88,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"65","2070",130,268,43.9872,261.28119,1,154.726259697097,3,0.0971188103447823,37,8522.0106,231,163,248.8156,3994.3316,68,93,131,93,1,5,2,58418.0634,19874.1952,37331.05616,1,2,1
"66","2071",125,315,43.2881,363.410560000001,4,196.86553314532,23,0.0752447175380451,89,6418.0496,226,194,144.97148,3020.02135,32,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"67","2072",147,265,43.8221,149.50354,2,141.992456479846,17,0.0688387926261494,38,4508.0675,227,153,281.82746,2605.1062,74,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"68","2073",170,284,43.2058,101.25898,4,2054.42762885735,21,0.0932064657505838,53,7940.6055,231,185,211.94028,2692.7116,46,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"69","2074",159,267,43.9641,248.54474,5,1885.92810042899,27,0.0927339096889845,45,8461.6757,222,134,790.46705,2925.25015,88,115,114,114,1,2,2,58418.0634,19874.1952,37331.05616,1,1,1
"70","2075",208,276,43.6605,151.980390000001,4,1021.93326705196,40,0.0939756927055491,46,7785.9424,230,170,528.12859,2347.8376,60,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"71","2076",109,326,52.9943,1330.12532,2,1598.55242672781,21,0.0455958807919723,133,1673.198,193,75,48.61508,994.3227,118,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"72","2077",163,247,43.2704,245.91498,4,13736.3434298418,26,0.0918397797130674,122,56774.4514,125,56,374.5571,3503.5701,69,105.5,104.5,117,2,8,5,58418.0634,19874.1952,37331.05616,2,2,3
"73","2078",218,271,58.61915,281.8671,NA,NA,NA,0.100938206388962,41,6721.1007,230,186,100.94075,3460.30725,44,NA,98,98,NA,1,1,58418.0634,19874.1952,37331.05616,NA,1,1
"74","2079",119,293,31.8149,118.48684,3,179.163801987898,3,0.0852304594341158,93,14417.0073,200,77,104.74672,4711.2245,123,NA,161,NA,NA,4,NA,58418.0634,19874.1952,37331.05616,NA,3,NA
"75","2080",196,274,43.3694,162.00495,12,1982.65226732076,23,0.0781592670931256,86,6656.8632,188,142,134.62151,897.02305,46,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"76","2081",221,268,52.1943,534.8848,4,78.5333431309367,1,0.0804189646434812,119,16796.5782,149,45,63.64696,3672.8044,104,NA,142,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"77","2082",109,277,42.8765,72.61,3,949.573183086834,11,0.0589384000324852,98,3053.879,179,56,362.6739,2393.94265,123,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"78","2083",157,236,49.8862,88.7882,NA,NA,NA,0.11862798320344,33,2794.9986,203,183,48.3055,278.7375,20,NA,44,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"79","2084",126,298,44.3183,228.9593,NA,NA,NA,0.0734392575706127,172,53171.3258,126,99,29.64242,3597.9314,27,102,108.5,102,1,10,4,58418.0634,19874.1952,37331.05616,1,4,3
"80","2085",123,268,43.655,179.29732,3,100.2195087912,9,0.104785779147473,29,3458.0348,239,181,244.3768,3392.9704,58,NA,110,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"81","2086",111,265,42.9249,65.2792,8,463.469917081089,1,0.104254456856291,46,5183.6271,219,194,300.35578,1072.0458,25,NA,60,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"82","2087",158,263,69.6444,893.88039,NA,NA,NA,0.0648912018194995,111,13325.1414,152,142,38.8317000000001,292.62895,10,98,97,97.5,2,5,4,58418.0634,19874.1952,37331.05616,2,2,2
"83","2088",203,263,42.8355,257.37466,2,2094.20746483215,19,0.0811072862260045,139,77772.3427,124,69,719.87528,4321.9996,55,120,117.5,113.5,1,8,4,58418.0634,19874.1952,37331.05616,1,4,2
"84","2089",249,241,47.9558,134.93066,5,263.008374798186,30,0.0705483740624614,56,2416.5968,185,85,36.1981,349.5972,100,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"85","2090",143,248,47.7554,73.04666,2,1517.66146250176,4,0.0852820354367137,38,1226.7083,210,86,57.2566,389.22925,124,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"86","2091",168,243,42.92995,171.40915,5,1443.64509992206,7,0.0569739716228476,141,34507.6819,102,77,40.80018,4033.5797,25,NA,79.5,62,NA,5,1,58418.0634,19874.1952,37331.05616,NA,2,1
"87","2092",146,297,31.5492,83.84255,2,712.232352223526,26,0.0780370769026888,143,19633.3084,154,109,32.65486,4743.5303,45,79,79,79,1,2,1,58418.0634,19874.1952,37331.05616,1,1,1
"88","2093",132,271,44.28,231.04263,2,102.071463626932,5,0.0688271583209185,118,38902.0869,153,76,41.458,1878.8618,77,NA,144.5,146.5,NA,6,2,58418.0634,19874.1952,37331.05616,NA,4,2
"89","2094",108,293,43.99365,176.88909,4,850.621289346938,16,0.0735828969928187,81,6147.1691,212,175,37.68806,2969.0148,37,60,88.5,60,1,4,1,58418.0634,19874.1952,37331.05616,1,2,1
"90","2095",116,263,42.8799,73.625,2,2466.40212897072,12,0.0674107409570537,90,3276.5567,173,138,33.84561,1103.0223,35,NA,89,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"91","2096",112,328,35.5162,605.827460000001,1,157.603640832,6,0.0405857833317272,205,1798.8485,123,110,31.25924,83.20745,13,NA,50,NA,NA,1,NA,58418.0634,19874.1952,37331.05616,NA,1,NA
"92","2097",213,276,43.5097,236.52216,2,340.90900994728,11,0.0994777006051811,34,6598.668,242,168,1169.31784,2935.9798,74,NA,121,NA,NA,2,NA,58418.0634,19874.1952,37331.05616,NA,2,NA
"93","2098",219,268,43.1368,202.06342,2,74.9252596953223,12,0.0561535327958942,67,2604.1888,201,78,56.4473,1239.68965,123,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"94","2099",NA,265,NA,NA,2,641.492019498183,7,0.0576217838106345,72,1073.8172,193,72,91.76233,460.26,121,NA,NA,NA,NA,NA,NA,58418.0634,19874.1952,37331.05616,NA,NA,NA
"95","2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
