year,date
2006,2006-05-29
2007,2007-05-31
2008,2008-04-24
2009,2009-04-18
2010,2010-05-09
2011,2011-04-26
2012,2012-05-05
2013,2013-04-13
2014,2014-05-02
2015,2015-04-13
2016,2016-05-28
2017,2017-05-05
2018,2018-05-26
2019,2019-04-25
2020,2020-05-13
2021,2021-03-29
2022,2022-03-22
2023,2023-05-09
2024,2024-05-18
2025,2025-05-21
2026,2026-05-23
2027,2027-04-11
2028,2028-05-05
2029,2029-05-01
2030,2030-05-08
2031,2031-05-07
2032,2032-04-23
2033,2033-05-16
2034,2034-05-30
2035,2035-05-07
2036,2036-04-19
2037,2037-04-04
2038,2038-04-05
2039,2039-05-10
2040,2040-05-16
2041,2041-05-31
2042,2042-04-21
2043,2043-05-31
2044,2044-03-19
2045,2045-05-12
2046,2046-05-05
2047,2047-05-09
2048,2048-03-18
2049,2049-04-19
2050,2050-03-26
2051,2051-04-18
2052,2052-05-22
2053,2053-04-11
2054,2054-04-01
2055,2055-03-16
2056,2056-04-29
2057,2057-03-20
2058,2058-05-25
2059,2059-05-19
2060,2060-04-04
2061,2061-05-01
2062,2062-05-19
2063,2063-05-17
2064,2064-05-06
2065,2065-05-24
2066,2066-05-31
2067,2067-04-09
2068,2068-04-22
2069,2069-03-25
2070,2070-03-21
2071,2071-05-03
2072,2072-04-26
2073,2073-05-16
2074,2074-04-28
2075,2075-05-15
2076,2076-03-17
2077,2077-03-11
2078,2078-04-01
2079,2079-04-14
2080,2080-04-02
2081,2081-03-11
2082,2082-05-01
2083,2083-04-18
2084,2084-04-24
2085,2085-03-07
2086,2086-04-15
2087,2087-03-14
2088,2088-03-21
2089,2089-03-31
2090,2090-05-03
2091,2091-03-31
2092,2092-04-04
2093,2093-03-01
2094,2094-04-24
2095,2095-03-14
2096,2096-03-10
2097,2097-05-27
2098,2098-04-16
2099,2099-04-08
