"","max","min","ten","fifty","ninty","twenty_five","seventy_five","days"
"1",0.53,0,0.01,0.01,0.04,0.01,0.03,1
"2",1.1,0,0.01,0.01,0.04,0.01,0.02,2
"3",2.88,0,0.01,0.01,0.04,0.01,0.03,3
"4",8.08,0,0.01,0.01,0.04,0.01,0.03,4
"5",1.27,0,0.01,0.01,0.04,0.01,0.03,5
"6",0.9,0,0.01,0.02,0.04,0.01,0.03,6
"7",1.2,0,0.01,0.01,0.05,0.01,0.02,7
"8",3.66,0,0.01,0.01,0.08,0.01,0.03,8
"9",1.04,0,0.01,0.01,0.08,0.01,0.03,9
"10",1.75,0,0.01,0.01,0.08,0.01,0.04,10
"11",8.61,0,0.01,0.02,0.23,0.01,0.03,11
"12",3.72,0,0.01,0.01,0.15,0.01,0.03,12
"13",18.88,0,0.01,0.02,0.12,0.01,0.04,13
"14",1.22,0,0.01,0.02,0.08,0.01,0.03,14
"15",2.04,0,0.01,0.02,0.12,0.01,0.04,15
"16",1.58,0,0.01,0.02,0.15,0.01,0.04,16
"17",1.94,0,0.01,0.02,0.07,0.01,0.03,17
"18",0.99,0,0.01,0.02,0.08,0.01,0.03,18
"19",2.59,0,0.01,0.02,0.16,0.01,0.04,19
"20",10.8,0,0.01,0.02,0.39,0.01,0.05,20
"21",1.92,0,0.01,0.02,0.33,0.01,0.05,21
"22",1.92,0,0.01,0.02,0.1,0.01,0.04,22
"23",1.12,0,0.01,0.02,0.19,0.01,0.04,23
"24",1.02,0,0.01,0.02,0.28,0.01,0.06,24
"25",1.98,0,0.01,0.02,0.24,0.01,0.05,25
"26",8.97,0,0.01,0.02,0.21,0.01,0.05,26
"27",11.83,0,0.01,0.02,0.28,0.01,0.05,27
"28",1.52,0,0.01,0.02,0.14,0.01,0.04,28
"29",0.91,0,0.01,0.02,0.1,0.01,0.05,29
"30",2.19,0,0.01,0.02,0.12,0.01,0.04,30
"31",1.05,0,0.01,0.02,0.15,0.01,0.04,31
"32",9.17,0,0.02,0.04,0.34,0.02,0.07,32
"33",40.68,0,0.02,0.04,0.44,0.02,0.07,33
"34",5.51,0,0.02,0.04,0.83,0.02,0.07,34
"35",4.74,0,0.02,0.04,0.62,0.02,0.11,35
"36",6.43,0,0.01,0.03,0.29,0.02,0.06,36
"37",1.64,0,0.02,0.03,0.14,0.02,0.05,37
"38",2.76,0,0.02,0.03,0.16,0.02,0.06,38
"39",3.76,0,0.02,0.04,0.38,0.02,0.08,39
"40",4.21,0,0.02,0.04,0.46,0.02,0.08,40
"41",3.17,0,0.02,0.04,0.41,0.02,0.08,41
"42",1.38,0,0.02,0.03,0.41,0.02,0.11,42
"43",3.81,0,0.02,0.04,0.34,0.02,0.08,43
"44",12.42,0,0.02,0.04,0.58,0.02,0.12,44
"45",10.16,0,0.02,0.04,0.73,0.02,0.13,45
"46",3.74,0,0.02,0.05,0.83,0.03,0.17,46
"47",4.85,0,0.02,0.05,0.76,0.03,0.2,47
"48",5.26,0,0.02,0.05,1.07,0.03,0.3,48
"49",3.81,0,0.02,0.05,0.92,0.02,0.26,49
"50",41.57,0,0.02,0.07,0.57,0.03,0.18,50
"51",10.07,0,0.02,0.06,0.68,0.03,0.22,51
"52",20.29,0,0.02,0.07,0.86,0.03,0.27,52
"53",7.74,0,0.02,0.06,0.79,0.03,0.15,53
"54",2.14,0,0.03,0.06,0.69,0.03,0.14,54
"55",9.28,0,0.03,0.07,0.72,0.04,0.13,55
"56",4.49,0,0.03,0.06,0.77,0.04,0.21,56
"57",3.78,0,0.03,0.07,0.81,0.03,0.41,57
"58",4.79,0,0.03,0.06,0.64,0.04,0.19,58
"59",46.9,0,0.03,0.07,1.1,0.04,0.26,59
"60",61.27,0,0.03,0.07,0.83,0.04,0.19,60
"61",21.98,0,0.03,0.09,0.63,0.04,0.32,61
"62",5.84,0,0.02,0.08,0.83,0.04,0.35,62
"63",12.07,0,0.03,0.08,0.88,0.04,0.29,63
"64",4.78,0,0.03,0.08,1.33,0.04,0.3,64
"65",5.99,0,0.03,0.08,0.82,0.04,0.3,65
"66",4.71,0,0.03,0.08,0.75,0.04,0.25,66
"67",4.24,0,0.03,0.1,1.11,0.04,0.34,67
"68",11.6,0,0.03,0.09,1.43,0.05,0.54,68
"69",19.54,0,0.03,0.13,1.74,0.05,0.56,69
"70",14.84,0,0.03,0.16,1.74,0.06,0.49,70
"71",13.81,0,0.04,0.11,2.11,0.06,0.44,71
"72",10.69,0,0.03,0.1,1.49,0.05,0.38,72
"73",6.79,0,0.03,0.14,1.26,0.05,0.51,73
"74",14.1,0,0.03,0.14,2.07,0.06,0.57,74
"75",29.53,0,0.04,0.14,2.08,0.06,0.69,75
"76",10.95,0,0.03,0.12,2.23,0.05,0.76,76
"77",31.12,0,0.03,0.13,1.8,0.06,0.55,77
"78",13.81,0,0.03,0.14,1.4,0.07,0.59,78
"79",23.39,0,0.03,0.12,1.34,0.06,0.48,79
"80",10.44,0,0.03,0.17,1.29,0.07,0.56,80
"81",12.75,0,0.04,0.17,1.44,0.05,0.63,81
"82",9.05,0,0.04,0.14,1.56,0.07,0.76,82
"83",22.39,0,0.04,0.13,1.36,0.06,0.57,83
"84",10.52,0,0.05,0.13,1.27,0.06,0.54,84
"85",10.95,0,0.04,0.15,1.21,0.07,0.72,85
"86",4.58,0,0.04,0.15,1.49,0.07,0.68,86
"87",7.01,0,0.04,0.18,2.42,0.07,0.69,87
"88",14.5,0,0.04,0.21,2.16,0.06,0.78,88
"89",11.23,0,0.04,0.17,2.15,0.06,0.81,89
"90",25.52,0,0.04,0.16,1.38,0.06,0.72,90
"91",15.75,0,0.04,0.13,1.55,0.06,0.65,91
