"","p10","p25","p50","p75","p90","metric","comid","result_type"
"DS_Dur_WS",107.2,136.5,158,187.5,209.9,"DS_Dur_WS",348435,"observed"
"DS_Tim",258.6,269.5,287,301.75,321.7,"DS_Tim",348435,"observed"
"DS_Mag_50",45.85678,48.333225,55.891,62.94925,83.689505,"DS_Mag_50",348435,"observed"
"DS_Mag_90",97.562526,141.42893,222.869575,449.154545,601.45831,"DS_Mag_90",348435,"observed"
"FA_Dur",2,2,3,4,5.5,"FA_Dur",348435,"observed"
"FA_Mag",141.324907669325,268.434138945944,617.733024315924,1997.4364032643,4869.87877549132,"FA_Mag",348435,"observed"
"FA_Tim",4,7.25,14,23.75,30,"FA_Tim",348435,"observed"
"SP_ROC",0.069106901059398,0.0757740340486961,0.0867577773179501,0.0993611789023963,0.111427431562969,"SP_ROC",348435,"observed"
"SP_Dur",39.2,49,62,78.75,116,"SP_Dur",348435,"observed"
"SP_Mag",4097.97367,6200.17195,8402.90755,10972.694775,16446.64304,"SP_Mag",348435,"observed"
"SP_Tim",157,206.25,231,244,256,"SP_Tim",348435,"observed"
"Wet_BFL_Dur",66.8,101,143,168,190,"Wet_BFL_Dur",348435,"observed"
"Wet_BFL_Mag_10",52.512044,96.22729,256.1648,626.9686,1329.078104,"Wet_BFL_Mag_10",348435,"observed"
"Wet_BFL_Mag_50",873.47292,1764.19115,2756.6157,3862.20815,4621.22157,"Wet_BFL_Mag_50",348435,"observed"
"Wet_Tim",32.2,53,79,111,126,"Wet_Tim",348435,"observed"
"Peak_Tim_10",67.35,90.5,106.5,136,152.1,"Peak_Tim_10",348435,"observed"
"Peak_Tim_2",61.1,76.875,110.75,128.375,154.2,"Peak_Tim_2",348435,"observed"
"Peak_Tim_5",59,81.5,110,133.75,150.8,"Peak_Tim_5",348435,"observed"
"Peak_Dur_10",1,1,1,1.75,2,"Peak_Dur_10",348435,"observed"
"Peak_Dur_2",1,2,2.5,5.25,7.3,"Peak_Dur_2",348435,"observed"
"Peak_Dur_5",1,1,2,2.5,3,"Peak_Dur_5",348435,"observed"
"Peak_10",59184.93518,59184.93518,59184.93518,59184.93518,59184.93518,"Peak_10",348435,"observed"
"Peak_2",17331.041,17331.041,17331.041,17331.041,17331.041,"Peak_2",348435,"observed"
"Peak_5",37128.6402,37128.6402,37128.6402,37128.6402,37128.6402,"Peak_5",348435,"observed"
"Peak_Fre_10",1,1,1,1,1.1,"Peak_Fre_10",348435,"observed"
"Peak_Fre_2",1,1,2,3,4,"Peak_Fre_2",348435,"observed"
"Peak_Fre_5",1,1,1,2,2,"Peak_Fre_5",348435,"observed"
