"","max","min","ten","fifty","ninty","twenty_five","seventy_five","days"
"1",6.89,0,0.01,0.01,0.14,0.01,0.03,1
"2",6.98,0,0.01,0.02,0.15,0.01,0.04,2
"3",6.4,0,0.01,0.01,0.17,0.01,0.03,3
"4",1.26,0,0.01,0.02,0.13,0.01,0.03,4
"5",1.65,0,0.01,0.01,0.15,0.01,0.03,5
"6",2.38,0,0.01,0.02,0.1,0.01,0.03,6
"7",4.76,0,0.01,0.01,0.06,0.01,0.02,7
"8",0.26,0,0.01,0.01,0.07,0.01,0.02,8
"9",0.71,0,0.01,0.01,0.13,0.01,0.03,9
"10",0.74,0,0.01,0.02,0.17,0.01,0.03,10
"11",0.92,0,0.01,0.01,0.14,0.01,0.03,11
"12",2.34,0,0.01,0.01,0.13,0.01,0.03,12
"13",1.22,0,0.01,0.01,0.15,0.01,0.04,13
"14",3.59,0,0.01,0.01,0.17,0.01,0.03,14
"15",1.29,0,0.01,0.02,0.16,0.01,0.04,15
"16",1.46,0,0.01,0.02,0.15,0.01,0.04,16
"17",4.56,0,0.01,0.02,0.33,0.01,0.05,17
"18",5.12,0,0.01,0.02,0.13,0.01,0.04,18
"19",8.81,0,0.01,0.02,0.15,0.01,0.04,19
"20",2.17,0,0.01,0.02,0.23,0.01,0.05,20
"21",2.9,0,0.01,0.02,0.12,0.01,0.04,21
"22",0.65,0,0.01,0.02,0.13,0.01,0.04,22
"23",1.29,0,0.01,0.02,0.1,0.01,0.04,23
"24",0.92,0,0.01,0.02,0.21,0.01,0.05,24
"25",2.39,0,0.01,0.02,0.25,0.01,0.06,25
"26",2.26,0,0.01,0.02,0.18,0.01,0.06,26
"27",2.57,0,0.01,0.02,0.17,0.01,0.04,27
"28",0.62,0,0.01,0.02,0.18,0.01,0.06,28
"29",2.45,0,0.01,0.02,0.26,0.01,0.06,29
"30",1.27,0,0.01,0.02,0.31,0.01,0.08,30
"31",0.99,0,0.01,0.02,0.17,0.01,0.04,31
"32",2.46,0,0.01,0.02,0.31,0.01,0.06,32
"33",6.89,0,0.01,0.03,0.3,0.01,0.06,33
"34",10.44,0,0.01,0.02,0.22,0.01,0.05,34
"35",5.86,0,0.01,0.03,0.19,0.01,0.07,35
"36",1.48,0,0.01,0.03,0.3,0.01,0.09,36
