"","Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1","2006",190,304,47.11525,147.25659,NA,NA,NA,0.14062716434875,49,12988.8897,255,111,1001.9896,3070.1569,144,NA,NA,NA,NA,NA,NA,103306.32575,27821.33275,63327.0583,NA,NA,NA
"2","2007",222,256,33.5329,276.17763,3,1690.09449534298,13,0.0762210193810016,55,2824.2231,201,73,101.56578,796.4759,128,NA,NA,NA,NA,NA,NA,103306.32575,27821.33275,63327.0583,NA,NA,NA
"3","2008",151,284,34.3299,432.3962,3,318.162075386796,17,0.0980974148556094,65,6183.1006,219,107,497.4878,1936.2471,112,NA,NA,NA,NA,NA,NA,103306.32575,27821.33275,63327.0583,NA,NA,NA
"4","2009",135,309,40.2975,199.8886,4,114.074638685516,16,0.11275898570444,53,12270.6995,256,187,3115.79418,4736.9146,69,NA,NA,NA,NA,NA,NA,103306.32575,27821.33275,63327.0583,NA,NA,NA
"5","2010",63,305,39.901,124.73882,3,108.458179204775,1,0.108293211822472,74,10072.8394,231,153,605.15848,4413.0303,78,NA,101,NA,NA,2,NA,103306.32575,27821.33275,63327.0583,NA,1,NA
"6","2011",169,279,33.8231,110.84576,NA,NA,NA,0.0573374482357968,97,6318.7527,182,180,107.8105,274.0632,2,NA,NA,NA,NA,NA,NA,103306.32575,27821.33275,63327.0583,NA,NA,NA
"7","2012",161,323,42.7745,454.8196,7,334.693877740502,22,0.0909922701431697,65,5161.9167,258,176,138.73805,3766.41425,82,NA,109,110,NA,3,1,103306.32575,27821.33275,63327.0583,NA,1,1
"8","2013",231,276,35.8464,384.6351,8,55.6079813901167,16,0.113476846062716,54,9884.3047,222,104,537.82534,1336.44795,118,NA,NA,NA,NA,NA,NA,103306.32575,27821.33275,63327.0583,NA,NA,NA
"9","2014",154,289,34.73665,653.491860000001,8,254.789929240855,38,0.125403630800912,45,10916.0463,244,103,476.31842,2307.8148,141,NA,NA,NA,NA,NA,NA,103306.32575,27821.33275,63327.0583,NA,NA,NA
"10","2015",163,292,35.6706,310.539,2,342.632046163125,15,0.110805161055775,49,10185.8883,243,166,2027.56535,3903.21085,77,NA,107,NA,NA,1,NA,103306.32575,27821.33275,63327.0583,NA,1,NA
