"","p10","p25","p50","p75","p90","metric","comid","result_type"
"DS_Dur_WS",97,131.5,163,193,217,"DS_Dur_WS",348435,"observed"
"DS_Tim",253,268.25,285.5,302.75,320,"DS_Tim",348435,"observed"
"DS_Mag_50",31.86605,37.28275,48.667,64.040925,76.3064,"DS_Mag_50",348435,"observed"
"DS_Mag_90",74.4665,89.56748,203.37821,293.017725,555.86556,"DS_Mag_90",348435,"observed"
"FA_Dur",2,2,3,4,6,"FA_Dur",348435,"observed"
"FA_Mag",108.007815203281,239.868057641601,596.16427338567,1656.22882294763,4529.71819301472,"FA_Mag",348435,"observed"
"FA_Tim",4.2,10.5,20,35.5,48,"FA_Tim",348435,"observed"
"SP_ROC",0.0535909468690088,0.066263205492318,0.0772580942749975,0.08663100468512,0.0977062405330415,"SP_ROC",348435,"observed"
"SP_Dur",41.2,48,62,79,114.4,"SP_Dur",348435,"observed"
"SP_Mag",2138.45857,4404.77475,6779.5819,9782.404275,13995.19893,"SP_Mag",348435,"observed"
"SP_Tim",173.2,200,226,241,250,"SP_Tim",348435,"observed"
"Wet_BFL_Dur",65,108,144,173.5,202,"Wet_BFL_Dur",348435,"observed"
"Wet_BFL_Mag_10",40.67,64.24328,187.96525,558.59113,978.140900000001,"Wet_BFL_Mag_10",348435,"observed"
"Wet_BFL_Mag_50",536.7453,1230.887125,2268.8819,3075.38395,3879.7529,"Wet_BFL_Mag_50",348435,"observed"
"Wet_Tim",30.2,57.75,76,104.5,129.4,"Wet_Tim",348435,"observed"
"Peak_Tim_10",39.4,61.75,88,112.75,153.6,"Peak_Tim_10",348435,"observed"
"Peak_Tim_2",63,83.875,104.25,131,155,"Peak_Tim_2",348435,"observed"
"Peak_Tim_5",51.6,79,92,113,119.8,"Peak_Tim_5",348435,"observed"
"Peak_Dur_10",1,1,1,1,2,"Peak_Dur_10",348435,"observed"
"Peak_Dur_2",1,1,1,2.25,3.3,"Peak_Dur_2",348435,"observed"
"Peak_Dur_5",1,1,1,1.5,2,"Peak_Dur_5",348435,"observed"
"Peak_10",54817.70708,54817.70708,54817.70708,54817.70708,54817.70708,"Peak_10",348435,"observed"
"Peak_2",17037.0896,17037.0896,17037.0896,17037.0896,17037.0896,"Peak_2",348435,"observed"
"Peak_5",39750.80596,39750.80596,39750.80596,39750.80596,39750.80596,"Peak_5",348435,"observed"
"Peak_Fre_10",1,1,1,1,1.1,"Peak_Fre_10",348435,"observed"
"Peak_Fre_2",1,1,1,2,2,"Peak_Fre_2",348435,"observed"
"Peak_Fre_5",1,1,1,1,1,"Peak_Fre_5",348435,"observed"
