"","max","min","ten","fifty","ninty","twenty_five","seventy_five","days"
"1",0.98,0,0.02,0.03,0.13,0.02,0.06,1
"2",2.52,0,0.02,0.03,0.17,0.02,0.06,2
"3",0.88,0,0.02,0.03,0.19,0.02,0.05,3
"4",0.7,0,0.02,0.03,0.2,0.02,0.07,4
"5",1.71,0,0.02,0.03,0.13,0.02,0.06,5
"6",9.6,0,0.02,0.03,0.18,0.02,0.05,6
"7",26.21,0,0.02,0.03,0.17,0.02,0.05,7
"8",2.08,0,0.02,0.03,0.19,0.02,0.06,8
"9",3.04,0,0.02,0.03,0.2,0.02,0.06,9
"10",3.14,0,0.02,0.03,0.23,0.02,0.07,10
"11",0.72,0,0.02,0.03,0.2,0.02,0.07,11
"12",0.83,0,0.02,0.03,0.18,0.02,0.06,12
"13",0.56,0,0.02,0.03,0.14,0.02,0.06,13
"14",0.69,0,0.02,0.03,0.18,0.02,0.06,14
"15",1.93,0,0.02,0.03,0.17,0.02,0.05,15
"16",4.81,0,0.02,0.03,0.18,0.02,0.06,16
"17",6.77,0,0.02,0.03,0.15,0.02,0.07,17
"18",5.27,0,0.02,0.03,0.24,0.02,0.09,18
"19",4.93,0,0.02,0.03,0.19,0.02,0.07,19
"20",2.03,0,0.02,0.04,0.29,0.02,0.07,20
"21",2.44,0,0.02,0.04,0.24,0.02,0.09,21
"22",2.55,0,0.02,0.04,0.2,0.02,0.08,22
"23",1.5,0,0.02,0.04,0.3,0.02,0.08,23
"24",2.13,0,0.02,0.03,0.33,0.02,0.09,24
"25",2.78,0,0.02,0.04,0.46,0.02,0.09,25
"26",3.22,0,0.02,0.04,0.21,0.02,0.08,26
"27",3.52,0,0.02,0.04,0.2,0.02,0.07,27
"28",9.69,0,0.02,0.04,0.35,0.02,0.08,28
"29",24.68,0,0.02,0.04,0.32,0.02,0.09,29
"30",5.58,0,0.02,0.04,0.23,0.02,0.09,30
"31",4.73,0,0.02,0.04,0.19,0.02,0.08,31
"32",2.59,0,0.02,0.04,0.36,0.03,0.1,32
"33",2.25,0,0.02,0.05,0.44,0.03,0.14,33
"34",3.46,0,0.02,0.05,0.32,0.03,0.11,34
"35",3.64,0,0.02,0.05,0.2,0.03,0.08,35
"36",0.95,0,0.02,0.05,0.28,0.02,0.1,36
"37",4.07,0,0.02,0.05,0.37,0.03,0.12,37
"38",43.85,0,0.02,0.06,0.47,0.03,0.13,38
"39",27.9,0,0.02,0.05,0.39,0.03,0.14,39
"40",5.11,0,0.02,0.06,1.06,0.03,0.2,40
"41",6.09,0,0.03,0.07,0.87,0.04,0.3,41
"42",27.21,0,0.02,0.07,0.65,0.03,0.22,42
"43",12.06,0,0.02,0.07,1.27,0.03,0.28,43
"44",5.95,0,0.02,0.07,0.89,0.03,0.21,44
"45",7.28,0,0.03,0.06,0.73,0.03,0.21,45
"46",14.59,0,0.03,0.08,1.11,0.04,0.26,46
"47",6.68,0,0.03,0.08,2.05,0.04,0.39,47
"48",11.55,0,0.03,0.11,0.91,0.04,0.35,48
"49",22.45,0,0.03,0.08,0.71,0.04,0.21,49
"50",9.99,0,0.03,0.09,0.74,0.04,0.27,50
"51",5.8,0,0.03,0.1,1.15,0.04,0.46,51
"52",8.65,0,0.03,0.1,1.48,0.04,0.39,52
"53",3.93,0,0.03,0.09,1.52,0.04,0.57,53
"54",11.01,0,0.03,0.13,1.16,0.06,0.42,54
"55",16.03,0,0.03,0.13,1.7,0.06,0.47,55
"56",34.27,0,0.03,0.11,1.34,0.05,0.32,56
"57",10.23,0,0.03,0.1,0.99,0.05,0.32,57
"58",7.23,0,0.03,0.14,0.89,0.06,0.35,58
"59",12.11,0,0.03,0.15,1.56,0.06,0.43,59
