year,date
2006,2006-04-14
2007,2007-05-22
2008,2008-05-08
2009,2009-05-19
2010,2010-05-25
2011,2011-04-25
2012,2012-03-17
2013,2013-05-01
2014,2014-05-24
2015,2015-05-31
2016,2016-05-22
2017,2017-05-15
2018,2018-05-26
2019,2019-05-28
2020,2020-05-29
2021,2021-05-15
2022,2022-05-13
2023,2023-05-25
2024,2024-04-30
2025,2025-05-19
2026,2026-05-23
2027,2027-05-29
2028,2028-05-16
2029,2029-05-30
2030,2030-05-13
2031,2031-05-16
2032,2032-05-31
2033,2033-05-28
2034,2034-05-28
2035,2035-04-17
2036,2036-05-26
2037,2037-05-28
2038,2038-04-19
2039,2039-05-09
2040,2040-05-24
2041,2041-04-23
2042,2042-05-09
2043,2043-05-13
2044,2044-04-23
2045,2045-05-18
2046,2046-05-10
2047,2047-05-25
2048,2048-05-25
2049,2049-05-29
2050,2050-04-07
2051,2051-04-26
2052,2052-04-23
2053,2053-05-13
2054,2054-05-18
2055,2055-04-06
2056,2056-04-05
2057,2057-05-14
2058,2058-05-01
2059,2059-05-01
2060,2060-05-04
2061,2061-04-05
2062,2062-03-12
2063,2063-04-01
2064,2064-05-20
2065,2065-05-09
2066,2066-03-12
2067,2067-05-11
2068,2068-04-09
2069,2069-04-07
2070,2070-05-15
2071,2071-05-08
2072,2072-03-22
2073,2073-04-02
2074,2074-03-27
2075,2075-04-01
2076,2076-03-08
2077,2077-04-08
2078,2078-04-03
2079,2079-04-29
2080,2080-04-24
2081,2081-03-14
2082,2082-03-16
2083,2083-04-12
2084,2084-03-20
2085,2085-04-03
2086,2086-04-01
2087,2087-04-17
2088,2088-03-17
2089,2089-04-01
2090,2090-04-02
2091,2091-04-14
2092,2092-05-01
2093,2093-03-14
2094,2094-03-01
2095,2095-03-01
2096,2096-05-14
2097,2097-04-25
2098,2098-04-11
2099,2099-04-08
