WY,flow
2006,1412.548591894127
2007,2403.775286668341
2008,3550.5169056262525
2009,738.3191962886199
2010,4253.4585455822335
2011,309.75963742708325
2012,6454.481917845579
2013,612.7013892166023
2014,3399.33411709199
2015,2907.6045329706617
2016,1913.6291190088843
2017,723.5599233583335
2018,2217.384175969206
2019,4012.995342104349
2020,654.8438904577388
2021,629.3015218281818
2022,3080.0090166075183
2023,5634.346608938503
2024,5383.723829142973
2025,2587.3593234923023
2026,4625.184179349603
2027,2258.900236186832
2028,4975.887833606059
2029,1980.1234696793765
2030,4405.321430596548
2031,1071.5101916935448
2032,1361.081505595474
2033,1770.250913804109
2034,2020.7616701488469
2035,701.6605106192604
2036,923.2700763485968
2037,1939.8215583342821
2038,2189.9956166543334
2039,889.3212656279975
2040,1945.051935303926
2041,2368.277982367581
2042,1585.0427698439546
2043,2098.718874416149
2044,420.72530028390815
2045,2001.1548035214394
2046,1987.2425365775225
2047,4140.556803113538
2048,2068.9794050785376
2049,913.466437039521
2050,2160.544468617472
2051,1765.015120863681
2052,3607.366388419307
2053,971.2587110643914
2054,1263.8752583862558
2055,2063.343004584536
2056,221.73249694548807
2057,2192.2061876154867
2058,982.3258741182683
2059,547.8819849686922
2060,1093.3224852081312
2061,1807.5039552933786
2062,835.5963613226714
2063,376.5509211536601
2064,677.6833340344361
2065,1216.2794295954534
2066,3331.8861234600386
2067,441.770635702934
2068,3118.096130265407
2069,2402.2650677228376
2070,308.07325008204157
2071,597.4886042019606
2072,234.0504258476919
2073,3038.329259549233
2074,1037.4535441863534
2075,1950.7308410199316
2076,1083.1077317692173
2077,1314.2331100598074
2078,1036.9386335134177
2079,499.48505985047217
2080,1714.9095769559176
2081,956.057579921987
2082,1012.2944463882241
2083,2065.218788221844
2084,707.8617343589378
2085,812.543423536173
2086,2201.6635827496616
2087,1427.1866510680195
2088,473.3139026595484
2089,2004.007314334091
2090,2149.8877054144714
2091,663.2158758724657
2092,2296.4322790093993
2093,1050.2397729325332
2094,1704.5778080566054
2095,490.0852754548295
2096,1147.3384729491918
2097,2781.2016877853152
2098,1325.0841555614377
2099,2860.2910674758778
2100,71.68660835720445
