"","Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1","2006",215,303,120.2794,425.73132,NA,NA,NA,0.0618646454519104,62,9781.6457,241,166,98.69605,3306.38195,75,NA,NA,NA,NA,NA,NA,91823.31074,28405.006,50448.35034,NA,NA,NA
"2","2007",93,299,116.4315,196.56072,2,236.055926488874,8,0.0780730152425913,56,5673.0448,243,91,218.1727,3450.61,152,NA,NA,NA,NA,NA,NA,91823.31074,28405.006,50448.35034,NA,NA,NA
"3","2008",193,270,225.6559,1332.51212,NA,NA,NA,0.0564767637252619,38,18365.569,232,206,693.24795,2935.07795,26,NA,59,NA,NA,1,NA,91823.31074,28405.006,50448.35034,NA,1,NA
"4","2009",150,339,163.57575,626.15998,3,17370.0144180312,11,0.081321270140819,67,26782.3568,272,175,2203.05456,6379.2147,97,NA,NA,NA,NA,NA,NA,91823.31074,28405.006,50448.35034,NA,NA,NA
"5","2010",131,319,181.2177,563.5313,5,762.44933850915,14,0.0785703720087601,57,22798.292,262,139,744.72186,7666.7828,123,NA,197,NA,NA,4,NA,91823.31074,28405.006,50448.35034,NA,2,NA
"6","2011",156,336,199.2707,1121.17845,2,463.460210952856,15,0.0763234224107344,55,19533.3964,281,197,1406.88868,4534.1137,84,NA,NA,NA,NA,NA,NA,91823.31074,28405.006,50448.35034,NA,NA,NA
"7","2012",213,313,117.2958,300.360000000001,4,9803.13343640926,10,0.0716296815695203,77,16480.9285,236,110,841.42393,3643.85585,126,NA,NA,NA,NA,NA,NA,91823.31074,28405.006,50448.35034,NA,NA,NA
"8","2013",132,297,138.5615,1043.05665,10,1278.66293452343,23,0.0550295042696098,68,3819.9482,229,69,227.78876,918.9434,160,NA,NA,NA,NA,NA,NA,91823.31074,28405.006,50448.35034,NA,NA,NA
"9","2014",146,318,222.14425,1551.03905,2,1506.6283338221,15,0.0799495056947827,63,32604.2568,255,192,1052.70057,3490.27695,63,NA,251,NA,NA,3,NA,91823.31074,28405.006,50448.35034,NA,1,NA
"10","2015",154,336,140.7462,1080.00644,3,4315.93131580788,20,0.0701262252451563,71,18076.067,265,167,2138.62078,6074.326,98,NA,NA,NA,NA,NA,NA,91823.31074,28405.006,50448.35034,NA,NA,NA
"11","2016",186,322,223.82725,1063.8609,2,670.103403968445,11,0.0855667860010974,70,23350.9043,252,128,1768.8481,3298.3591,124,NA,NA,NA,NA,NA,NA,91823.31074,28405.006,50448.35034,NA,NA,NA
"12","2017",216,266,179.8092,488.42935,5,3170.80421863244,7,0.066340557515435,51,7823.7989,215,73,660.85086,2254.5255,142,NA,NA,NA,NA,NA,NA,91823.31074,28405.006,50448.35034,NA,NA,NA
"13","2018",183,302,191.1916,545.85488,4,1745.42323974602,5,0.0879385294492356,45,20838.2436,257,141,1114.0969,3942.984,116,NA,NA,NA,NA,NA,NA,91823.31074,28405.006,50448.35034,NA,NA,NA
"14","2019",88,301,123.3796,273.26898,2,3601.74035438842,40,0.0862336554975034,46,15282.2958,255,136,733.8454,4863.301,119,NA,NA,NA,NA,NA,NA,91823.31074,28405.006,50448.35034,NA,NA,NA
"15","2020",175,319,160.0193,3115.96054,NA,NA,NA,0.0731862939673784,52,10089.2574,267,244,209.46198,1365.34155,23,NA,83,NA,NA,2,NA,91823.31074,28405.006,50448.35034,NA,2,NA
"16","2021",240,301,164.42175,956.456159999999,2,399.622100643357,27,0.0881144853191909,36,19124.8996,265,137,3592.30582,5874.4882,128,NA,248,NA,NA,3,NA,91823.31074,28405.006,50448.35034,NA,1,NA
"17","2022",118,316,121.11255,319.47041,11,269.366809685969,20,0.0647224416669784,39,3704.9878,277,102,355.20607,2718.8812,175,NA,NA,NA,NA,NA,NA,91823.31074,28405.006,50448.35034,NA,NA,NA
"18","2023",199,304,140.709,704.768740000003,3,262.333275382397,31,0.0957477321295239,60,25911.1079,244,176,608.70025,3091.33835,68,NA,227,NA,NA,1,NA,91823.31074,28405.006,50448.35034,NA,1,NA
"19","2024",235,271,171.2818,2071.25984,4,288.754381356227,9,0.0538403328212306,53,7141.7204,218,81,211.3533,4107.6535,137,NA,NA,NA,NA,NA,NA,91823.31074,28405.006,50448.35034,NA,NA,NA
"20","2025",155,339,160.6697,1300.57134,2,349.982826740842,34,0.0759312720583434,62,19230.2741,277,137,3787.49246,7626.303,140,NA,172,NA,NA,1,NA,91823.31074,28405.006,50448.35034,NA,1,NA
