WY,flow
2006,1638.031403625775
2007,396.7979990037445
2008,370.07315825557964
2009,1687.1871579433034
2010,1936.8545244659947
2011,910.0893959582411
2012,1677.7397836933005
2013,1027.2279997934052
2014,1933.2883101163318
2015,1848.9132320060996
2016,1777.8022491654765
2017,589.9046977460861
2018,1399.440611351862
2019,1102.115819908168
2020,741.4065444376671
2021,6539.593648773327
2022,6143.909536448212
2023,599.051467698181
2024,901.9397346001956
2025,1714.124778714295
2026,5747.080005310084
2027,2498.3863224682245
2028,3271.879697386753
2029,1338.5709203968315
2030,3188.718704123505
2031,640.689825039971
2032,5503.28569872569
2033,1381.2984822941264
2034,901.509059029645
2035,1668.499472100248
2036,1829.8263905937858
2037,4006.775412759387
2038,2469.1156681658067
2039,1112.3690253643613
2040,2531.007742409239
2041,1186.7093948057693
2042,437.23484771518144
2043,3890.3405258927446
2044,2735.6951868794727
2045,360.68506826418206
2046,4130.040236515305
2047,1652.515757180957
2048,1922.8110056234884
2049,906.821447888761
2050,2560.6732305132855
2051,3510.839033645426
2052,1483.4710855888845
2053,1308.9901050996473
2054,4809.3235082688525
2055,665.9110154163764
2056,1641.3863323507392
2057,326.06219499378636
2058,1770.2653162751649
2059,1988.9361452937114
2060,1273.9344247338793
2061,3462.9457903339176
2062,809.1960300000458
2063,787.3571185813088
2064,1089.4295584806755
2065,4191.848056161358
2066,1677.6135181701452
2067,212.4843625372576
2068,745.8238021920174
2069,4228.392488187778
2070,2175.3371557230735
2071,529.9909979686668
2072,2065.3247588871895
2073,1061.4764798506556
2074,268.7665450253814
2075,3789.2221962738927
2076,3522.9865561608763
2077,2941.8817923609513
2078,2548.1229334685795
2079,2751.1943213714762
2080,2252.6608027957714
2081,1014.333586650832
2082,1036.0073874770583
2083,2391.700497869925
2084,164.9520774727548
2085,2277.4103524047687
2086,2632.053818843334
2087,2173.135705526282
2088,3495.6617684007933
2089,6083.822567416686
2090,282.49669213490233
2091,2829.0914489392294
2092,1152.90804311299
2093,1395.9160489848775
2094,1745.5393271320495
2095,3226.918780458798
2096,174.07713363571696
2097,883.8392225834258
2098,1384.1525236528353
2099,143.20468639714863
2100,309.27768722715905
