"","p10","p25","p50","p75","p90","metric","comid","result_type"
"DS_Dur_WS",110.4,126,157,191,207.8,"DS_Dur_WS",2823750,"observed"
"DS_Tim",250.8,266.5,272,311.5,323.2,"DS_Tim",2823750,"observed"
"DS_Mag_50",110.48892,129.3547,137.5026,151.05195,182.28154,"DS_Mag_50",2823750,"observed"
"DS_Mag_90",191.17937,334.08836,663.5435,1181.40826,1841.711016,"DS_Mag_90",2823750,"observed"
"FA_Dur",1,2,3,4,7,"FA_Dur",2823750,"observed"
"FA_Mag",288.08521221013,398.759521235288,1116.26726498224,2629.4771979403,5144.25179349615,"FA_Mag",2823750,"observed"
"FA_Tim",0.800000000000001,3,13,24,39,"FA_Tim",2823750,"observed"
"SP_ROC",0.0680327198178531,0.0766620286940635,0.0883792242056809,0.100280513195484,0.11155977484432,"SP_ROC",2823750,"observed"
"SP_Dur",28.4,43.5,57,67.5,90.6000000000001,"SP_Dur",2823750,"observed"
"SP_Mag",7771.6785,11731.0073,18664.5642,26763.39235,32815.96012,"SP_Mag",2823750,"observed"
"SP_Tim",169.6,202.5,236,250,260.8,"SP_Tim",2823750,"observed"
"Wet_BFL_Dur",81.2,117.25,156.5,181.75,209.1,"Wet_BFL_Dur",2823750,"observed"
"Wet_BFL_Mag_10",124.07476,192.9275,510.306925,1454.912285,2545.236781,"Wet_BFL_Mag_10",2823750,"observed"
"Wet_BFL_Mag_50",1222.141805,3808.68255,5100.73085,6288.29715,7879.632915,"Wet_BFL_Mag_50",2823750,"observed"
"Wet_Tim",24.3,55.25,74.5,97.75,112.7,"Wet_Tim",2823750,"observed"
"Peak_Tim_10",48,80.75,95.5,109.25,113.7,"Peak_Tim_10",2823750,"observed"
"Peak_Tim_2",76.45,97.75,118.5,132.5,175.6,"Peak_Tim_2",2823750,"observed"
"Peak_Tim_5",50.8,88.5,105,115.75,142.7,"Peak_Tim_5",2823750,"observed"
"Peak_Dur_10",1,1,1,1.75,2.1,"Peak_Dur_10",2823750,"observed"
"Peak_Dur_2",1,2,3,6.25,11,"Peak_Dur_2",2823750,"observed"
"Peak_Dur_5",1,1,1,2.25,4,"Peak_Dur_5",2823750,"observed"
"Peak_10",132876.7523,132876.7523,132876.7523,132876.7523,132876.7523,"Peak_10",2823750,"observed"
"Peak_2",32485.40855,32485.40855,32485.40855,32485.40855,32485.40855,"Peak_2",2823750,"observed"
"Peak_5",84246.2806,84246.2806,84246.2806,84246.2806,84246.2806,"Peak_5",2823750,"observed"
"Peak_Fre_10",1,1,1,1,1.1,"Peak_Fre_10",2823750,"observed"
"Peak_Fre_2",1,1,2,4,5,"Peak_Fre_2",2823750,"observed"
"Peak_Fre_5",1,1,1,1,2,"Peak_Fre_5",2823750,"observed"
