WY,flow
2006,2668.3009266103104
2007,3747.3776818289252
2008,3066.9415567462
2009,4112.717874839678
2010,1131.774043258516
2011,1691.3877795738833
2012,3094.103240048319
2013,5147.99393427183
2014,344.43078328411417
2015,222.42916634877352
2016,2591.443685982818
2017,2725.165844944686
2018,1415.8428201395704
2019,554.7011455293034
2020,2839.499418484751
2021,1720.2495099548496
2022,1066.8493996113707
2023,2165.529560149068
2024,1616.5647213311777
2025,652.5642946726401
2026,4638.849205626338
2027,3624.930618826364
2028,323.2420650907138
2029,3098.4135040955553
2030,6884.068186885604
2031,2187.590635474353
2032,2705.1364585402343
2033,1260.9129682287519
2034,194.12691718578108
2035,2450.8421844648356
2036,3135.252853539086
2037,4220.523203009981
2038,1982.2559383078672
2039,1685.231357621118
2040,1181.344508211586
2041,2805.773577149687
2042,1035.463466405619
2043,1325.3472524042008
2044,3664.754291162907
2045,1586.9495922315589
2046,3975.8571781131936
2047,825.0151379602106
2048,1733.90402293781
2049,991.5489826466513
2050,540.5641448973699
2051,3401.399377296401
2052,2428.769479481528
2053,4373.29450232192
2054,390.9868244231506
2055,1544.953453143667
2056,769.2045572613929
2057,2896.297917765789
2058,3499.169260484182
2059,1776.6038309176195
2060,3844.1254913430334
2061,1240.8225705252567
2062,6360.617241258218
2063,2542.8012855198126
2064,2931.9279068475703
2065,4157.875309091563
2066,2727.4633396479053
2067,3474.7208020110743
2068,4150.986464804587
2069,396.1537817198385
2070,2840.4114694773957
2071,2746.215105854427
2072,1641.521879095169
2073,1047.4108834347571
2074,2528.927434206259
2075,295.4478287299846
2076,2577.584002375138
2077,4543.456048585667
2078,407.8860027004936
2079,2057.146768479408
2080,2090.9249340343536
2081,1040.9639347858229
2082,2677.152508913925
2083,1830.8845835732982
2084,1737.3600742208805
2085,2912.2755352399877
2086,1201.0748747171663
2087,3072.5595194629873
2088,995.6471068165401
2089,1282.3525615751548
2090,843.178493349149
2091,4057.407768855528
2092,155.86718649963126
2093,2573.933306378376
2094,1374.747052876025
2095,4060.3169774620014
2096,864.1942400382048
2097,248.45603999772243
2098,1061.7127526394033
2099,295.5918082422411
2100,61.178435108289904
