"","Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1","2006",216,271,235.1465,1449.1546,NA,NA,NA,0.0691128133808115,39,9222.8308,232,125,100.36306,2056.0636,107,NA,NA,NA,NA,NA,NA,88994.21708,21304.7749,49220.31372,NA,NA,NA
"2","2007",196,269,196.35185,741.48075,2,1037.06305989644,4,0.0928977058843512,38,12912.0079,231,110,1562.5805,3098.5175,121,NA,NA,NA,NA,NA,NA,88994.21708,21304.7749,49220.31372,NA,NA,NA
"3","2008",124,317,173.67275,490.60178,3,1376.75899101706,22,0.0823175350988674,50,18858.0357,267,168,1501.08379,3233.2579,99,NA,252,NA,NA,3,NA,88994.21708,21304.7749,49220.31372,NA,1,NA
"4","2009",185,340,232.5324,1635.57736,7,2873.8156241131,13,0.0669121055722678,63,32468.3805,277,202,1466.88549,4446.0935,75,NA,258,NA,NA,13,NA,88994.21708,21304.7749,49220.31372,NA,5,NA
"5","2010",227,300,204.1706,1114.08056,2,2676.00136343506,6,0.098866662317117,45,24370.0089,255,96,956.1285,3454.135,159,NA,250,NA,NA,2,NA,88994.21708,21304.7749,49220.31372,NA,1,NA
"6","2011",156,303,191.64015,979.4549,3,494.021592912994,11,0.0771097253618269,52,16572.5706,251,90,1004.79578,1727.15275,161,NA,NA,NA,NA,NA,NA,88994.21708,21304.7749,49220.31372,NA,NA,NA
"7","2012",132,308,185.609,2113.90812,4,854.995423917802,8,0.0825057653720741,57,27158.2321,251,158,1414.70313,4183.93535,93,NA,146,NA,NA,5,NA,88994.21708,21304.7749,49220.31372,NA,2,NA
"8","2013",231,342,2743.2038,6862.7388,8,827.901270547478,1,0.0625734689399177,61,20802.798,281,207,2795.19616,6030.5645,74,NA,250.5,NA,NA,20,NA,88994.21708,21304.7749,49220.31372,NA,4,NA
"9","2014",179,318,114.1198,529.3986,7,6920.91695707704,56,0.0839259911297045,62,58043.1363,256,49,4609.93288,7112.9877,207,NA,106,245,NA,25,14,88994.21708,21304.7749,49220.31372,NA,3,3
"10","2015",240,267,92.99235,664.71158,6,263.719692374532,17,0.0815243787307529,48,15377.1589,219,88,162.24285,3989.31885,131,NA,NA,NA,NA,NA,NA,88994.21708,21304.7749,49220.31372,NA,NA,NA
"11","2016",231,271,126.5873,323.3601,2,835.751090009834,13,0.0761515286271175,42,5906.4703,229,88,210.00615,2482.5239,141,NA,NA,NA,NA,NA,NA,88994.21708,21304.7749,49220.31372,NA,NA,NA
"12","2017",148,268,175.11905,305.52958,1,207.319593458139,3,0.0797263822349642,43,4206.217,225,89,133.8209,1196.1008,136,NA,NA,NA,NA,NA,NA,88994.21708,21304.7749,49220.31372,NA,NA,NA
"13","2018",165,322,101.5973,568.528859999999,2,1326.5406792037,19,0.0697051940008625,90,22710.3047,232,182,234.48097,4306.2563,50,74,150.5,74,1,3,1,88994.21708,21304.7749,49220.31372,1,2,1
"14","2019",145,338,222.4472,1379.48416,2,1771.34879393864,19,0.0506394929747691,89,12054.4276,249,128,304.13571,2486.67705,121,NA,NA,NA,NA,NA,NA,88994.21708,21304.7749,49220.31372,NA,NA,NA
