WY,flow
2006,1066.919773107862
2007,2261.3267507768364
2008,3073.8394166484636
2009,578.5356376436998
2010,3891.0031259649936
2011,188.23502500699246
2012,5719.570729795216
2013,550.9741601185543
2014,2242.095684702859
2015,2722.771857640688
2016,1518.2365488340981
2017,761.9546475171182
2018,1940.9324917670515
2019,4699.550220941797
2020,684.2003290520197
2021,484.26812762931604
2022,2974.879909788437
2023,5733.970024434342
2024,3658.293120228837
2025,1953.3573026268123
2026,4509.603144955772
2027,1942.2768747208515
2028,4390.298473403733
2029,1293.6533483749406
2030,3884.858130208737
2031,719.0707052463779
2032,913.8352739354787
2033,1146.6840224466919
2034,1359.0997855549851
2035,413.449466337215
2036,708.12130129659
2037,1604.108104313562
2038,1808.5061378991818
2039,561.940458114555
2040,1455.8376371467045
2041,2485.354424836789
2042,873.3876858327139
2043,1860.4136443714633
2044,345.4663661732913
2045,1756.8943665139275
2046,1958.3785479510707
2047,4624.995379009156
2048,1947.7745589480558
2049,973.6922302417321
2050,1444.9010215931387
2051,1803.1853101706386
2052,3808.216778067017
2053,571.3033732147584
2054,1329.0473110900214
2055,1918.5919040383283
2056,147.11728746385816
2057,2306.424712193972
2058,567.8449288277054
2059,394.7790052267004
2060,1176.1879280878422
2061,1590.4911646945704
2062,775.821588041188
2063,275.20378767059856
2064,651.4867574100859
2065,1172.2889726337824
2066,3171.4709478348586
2067,283.9418886899012
2068,3203.8394485024337
2069,2210.35223091859
2070,220.76318915799234
2071,475.67774855206204
2072,167.27520216220805
2073,2532.347627742163
2074,1150.6384815853469
2075,1924.123770945897
2076,623.3293562913902
2077,575.0229631002146
2078,556.9161592019527
2079,289.3155604957723
2080,1417.3564249908095
2081,436.2471514206531
2082,663.788323105682
2083,1984.9684499201956
2084,440.2721267733259
2085,620.5968550810028
2086,1663.0339305273817
2087,1226.8394373901692
2088,276.07837337386195
2089,1510.4557774950438
2090,2558.7664190298237
2091,438.66300355371686
2092,2833.8992611611193
2093,701.5110509251386
2094,1610.8912237713444
2095,257.3993945208936
2096,1333.0806002508539
2097,2805.5730509983514
2098,1476.4211067948836
2099,3199.2843689418983
2100,60.39722302295242
