"","Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1","2006",201,299,133.9596,463.8617,NA,NA,NA,0.0789298510061502,56,17519.9727,243,129,1398.91204,5148.6741,114,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"2","2007",98,296,213.8132,314.5335,2,211.366304739219,8,0.061455540075109,53,3376.1495,243,109,114.82924,1997.8475,134,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"3","2008",174,300,229.55255,772.555430000002,NA,NA,NA,0.0615788658981451,66,15604.2828,234,206,206.18745,1419.60595,28,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"4","2009",151,339,171.8677,517.2713,3,6123.82468070888,11,0.0713336998587669,62,37818.0932,277,169,1523.0943,6281.3392,108,NA,201.5,76,NA,12,1,91068.77026,26126.5319,50302.718,NA,4,1
"5","2010",222,302,336.70375,2804.25691,3,1938.22372585059,18,0.0941107211208832,38,15731.6013,264,140,632.04023,5811.10475,124,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"6","2011",201,338,308.3473,1376.9655,2,645.522069391112,15,0.0819612738906076,46,24002.6777,292,134,2525.64936,5603.36595,158,NA,191.5,NA,NA,3,NA,91068.77026,26126.5319,50302.718,NA,2,NA
"7","2012",223,303,145.1008,511.19956,4,2925.62487625932,10,0.108903133467768,35,10475.3493,268,95,1801.08054,5370.8123,173,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"8","2013",143,371,346.9557,1614.0487,2,3009.30322126186,24,0.0175962492180249,138,3226.8841,233,73,260.76722,982.2826,160,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"9","2014",205,301,292.4891,1808.4775,2,571.084326746071,15,0.0947189133502086,43,19745.6817,258,115,1234.35988,5339.2856,143,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"10","2015",153,339,196.4826,815.33736,4,2312.08649958367,21,0.0692619184775626,62,19699.1832,277,137,2187.45722,6250.8283,140,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"11","2016",206,302,283.89755,926.51225,3,2809.04551919709,47,0.122053600160433,24,15069.878,278,152,2071.43378,3575.2809,126,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"12","2017",207,296,205.4109,571.45866,4,874.633061330668,5,0.0726957516703706,73,6981.1807,223,81,548.3009,1693.0495,142,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"13","2018",197,300,204.4157,547.6542,4,3450.1499504175,5,0.0962939760758006,41,16094.633,259,122,1293.34341,2917.85415,137,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"14","2019",165,298,254.9921,820.70818,3,1366.01911330842,39,0.100796716620126,42,10496.881,256,125,501.52532,3305.3496,131,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"15","2020",190,302,253.698,2110.78837,2,4349.95778951732,34,0.096707836307816,32,12705.5698,270,173,572.18484,1512.8159,97,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"16","2021",199,338,111.0112,330.34252,2,49253.0526243298,65,0.0761104056386069,73,23603.9334,265,139,2706.54836,4860.904,126,NA,65,NA,NA,1,NA,91068.77026,26126.5319,50302.718,NA,1,NA
"17","2022",223,302,359.1961,2291.02856,4,588.597397500653,36,0.128789003064212,22,7746.5365,280,109,252.19958,1787.9175,171,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"18","2023",203,301,221.9779,621.96572,3,554.508132936966,42,0.106657231333808,40,19490.7467,261,102,1592.87937,4488.96905,159,NA,101,NA,NA,1,NA,91068.77026,26126.5319,50302.718,NA,1,NA
"19","2024",141,372,135.3415,1005.8216,2,542.049169296202,25,0.0452309478802658,153,6702.9124,219,81,141.2969,3300.492,138,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"20","2025",188,331,204.361,636.35475,3,221.258640447376,38,0.0994081830457355,49,25499.482,282,141,1838.292,6650.4856,141,NA,172,NA,NA,1,NA,91068.77026,26126.5319,50302.718,NA,1,NA
"21","2026",151,368,124.8399,672.8514,2,1503.02201967649,25,0.0478934781791676,135,16838.4799,233,80,561.68227,3637.7631,153,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"22","2027",198,297,173.4595,604.23985,2,1413.14214118997,10,0.0738447700303044,51,11350.6662,246,95,742.19952,2389.1951,151,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"23","2028",105,302,315.4027,1527.83764,2,969.209305765472,32,0.0850861240863582,24,21793.018,278,149,750.74612,3749.2606,129,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"24","2029",98,299,305.34335,1017.41951,3,1532.97048638773,12,0.0844399233996756,46,30563.9366,253,212,741.44225,5119.2468,41,68,176,87,1,12,3,91068.77026,26126.5319,50302.718,1,4,2
"25","2030",180,297,215.7476,611.06026,3,7602.19090988691,12,0.104931567777299,43,15228.6786,254,223,359.51198,2878.8216,31,NA,69,NA,NA,1,NA,91068.77026,26126.5319,50302.718,NA,1,NA
"26","2031",NA,345,NA,NA,2,1521.25223751412,3,0.0686889618632131,59,20004.0802,286,175,2769.00504,8316.8316,111,NA,266,NA,NA,7,NA,91068.77026,26126.5319,50302.718,NA,3,NA
"27","2032",148,267,158.44105,319.478950000001,3,93819.0146521363,12,0.0697631535514156,38,5816.5377,229,NA,NA,NA,NA,12,12,12,1,1,1,91068.77026,26126.5319,50302.718,1,1,1
"28","2033",133,300,332.7218,1715.33286,3,1529.19289831348,20,0.0925330546934063,42,22130.29,258,209,1330.95856,3407.6208,49,NA,327,NA,NA,1,NA,91068.77026,26126.5319,50302.718,NA,1,NA
"29","2034",181,329,165.754,487.4774,2,4334.89807523247,23,0.0810357452260514,49,20164.2875,280,213,256.14852,3908.0232,67,103,103,103,2,2,2,91068.77026,26126.5319,50302.718,1,1,1
"30","2035",131,359,197.1798,1113.877,4,937.542817022524,42,0.0362507541173215,105,16332.5333,254,110,477.65519,3071.4761,144,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"31","2036",160,301,221.34355,627.91902,3,2984.01890667078,27,0.0543868788634905,46,10785.3181,255,131,917.2297,4113.7817,124,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"32","2037",217,290,161.5252,522.4431,2,626.786935919625,25,0.0722769890267559,65,15441.1537,225,130,922.4724,2577.75615,95,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"33","2038",93,340,211.281,2298.05214,5,292.478906958988,1,0.0754933806792187,115,6561.9159,225,84,498.0844,1358.17055,141,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"34","2039",118,339,337.5208,1173.90096,2,4821.22016243442,18,0.0782022958136971,57,27865.5299,282,215,3353.26752,8728.0064,67,89,131,87,2,28,4,91068.77026,26126.5319,50302.718,1,5,1
"35","2040",132,340,242.0877,1542.1757,2,1107.70157967122,10,0.0909868647263637,60,24518.5498,280,189,2296.39088,7496.8877,91,NA,45,NA,NA,1,NA,91068.77026,26126.5319,50302.718,NA,1,NA
"36","2041",223,298,214.8875,1038.7524,3,9438.00115173284,26,0.118785781148435,53,48257.7378,245,139,1370.57802,5570.9838,106,NA,182.5,NA,NA,8,NA,91068.77026,26126.5319,50302.718,NA,2,NA
"37","2042",144,295,229.62985,473.55513,5,781.883106076123,7,0.0766432810156253,55,6032.4108,240,85,643.15102,1487.1104,155,NA,NA,NA,NA,NA,NA,91068.77026,26126.5319,50302.718,NA,NA,NA
"38","2043",136,338,142.2168,379.81215,3,1794.67407712207,23,0.0869133868128046,70,19744.4837,268,195,322.42934,5078.7254,73,NA,109.5,NA,NA,2,NA,91068.77026,26126.5319,50302.718,NA,2,NA
