"","Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1","2006",156,325,104.7814,319.5129,NA,NA,NA,0.0684229360209545,67,10300.3654,258,102,1349.30105,2625.64805,156,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"2","2007",23,373,38.1961,49.24332,6,203.553172535434,43,0.015322705695432,192,2189.1251,181,66,111.08955,718.6847,115,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"3","2008",138,375,76.79775,660.95211,2,71.0785199653233,15,0.0106140558648408,179,1067.4136,196,173,64.61176,155.1954,23,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"4","2009",247,301,136.697,520.28198,2,272.41813427594,37,0.0797540840368452,44,11535.9579,257,119,619.41256,2421.0275,138,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"5","2010",183,314,149.3575,533.2125,6,917.085188532032,23,0.1097555773861,36,14938.1251,278,96,854.7653,2684.4182,182,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"6","2011",141,372,96.7154,746.9309,2,753.123992297963,20,0.0292328490064889,115,4165.0844,257,126,350.56065,1700.15625,131,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"7","2012",147,341,81.4494,196.83306,2,891.337959132852,36,0.0643394269782955,89,9787.0601,252,111,501.0078,2421.5083,141,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"8","2013",142,360,197.79725,1136.62897,2,426.67120687515,36,0.0153604949130712,101,4938.413,259,137,241.45786,1223.9687,122,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"9","2014",195,296,248.516,820.29226,2,7728.14387361349,19,0.112346200278659,48,12024.9894,248,112,401.83173,2426.6756,136,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"10","2015",192,318,157.8995,1733.04437,2,2646.22559111337,15,0.0571841633420187,75,9491.7018,243,118,831.61795,2914.56945,125,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"11","2016",118,325,112.4433,267.39157,6,2028.11801227913,45,0.0685082477917066,63,7160.4739,262,118,778.2837,2412.6771,144,NA,356,NA,NA,1,NA,133782.48718,16101.0005,62861.86784,NA,1,NA
"12","2017",152,372,83.5812,1435.27143,2,444.095365615816,34,0.0133578012244652,124,2627.1257,248,171,88.6981,449.7593,77,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"13","2018",103,296,131.0121,283.08542,2,1087.37675153841,36,0.0742694949520859,60,13645.5727,236,84,1126.18679,2179.74435,152,NA,94,NA,NA,1,NA,133782.48718,16101.0005,62861.86784,NA,1,NA
"14","2019",183,320,127.8934,428.960060000001,2,4162.48334487303,19,0.0601189580343628,43,3520.3376,277,244,165.86413,366.1773,33,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"15","2020",224,345,1908.2879,5536.9581,3,2826.46629114383,17,0.0276948780626652,120,2522.4194,225,88,232.22497,1021.8816,137,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"16","2021",52,334,178.5856,255.6854,4,1756.45840227756,48,0.0648007849134918,77,33537.3813,257,54,3728.45242,8697.67225,203,NA,266,NA,NA,32,NA,133782.48718,16101.0005,62861.86784,NA,3,NA
"17","2022",85,340,104.5811,211.58788,NA,NA,NA,0.0790705506336147,58,21115.9627,282,262,535.004480000001,5340.25155,20,NA,218.5,NA,NA,36,NA,133782.48718,16101.0005,62861.86784,NA,10,NA
"18","2023",183,341,125.6248,579.821460000001,2,1075.00610479814,4,0.035070143260794,116,1905.5551,225,166,81.64665,337.9706,59,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"19","2024",67,372,58.3067,58.6913,2,1174.82735630284,1,0.031426468031998,127,3527.4125,245,87,380.57924,1004.7986,158,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"20","2025",99,298,132.4926,327.22106,1,60.1606223753019,3,0.0851794685666116,48,8962.654,250,183,69.95588,1951.0289,67,NA,92,NA,NA,2,NA,133782.48718,16101.0005,62861.86784,NA,1,NA
"21","2026",110,338,78.39285,268.31996,2,6840.15037188233,20,0.0705131704834876,61,33545.7491,277,246,161.20965,5067.9218,31,53,190.5,92.5,1,34,2,133782.48718,16101.0005,62861.86784,1,8,2
"22","2027",161,302,130.5524,493.3757,3,4022.83547945756,45,0.0904797912873284,64,9958.2437,238,156,199.78605,2874.64305,82,NA,105,NA,NA,2,NA,133782.48718,16101.0005,62861.86784,NA,1,NA
"23","2028",202,303,162.10355,513.22897,3,224.653458472756,29,0.0871031705699581,41,12475.9935,262,165,1584.6176,4334.3839,97,NA,202,NA,NA,7,NA,133782.48718,16101.0005,62861.86784,NA,4,NA
"24","2029",172,294,124.0735,367.57766,5,558.360033534996,8,0.0709774629069046,53,7026.0807,241,102,303.86573,1831.8164,139,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"25","2030",82,323,144.7018,355.93168,1,2536.45657698919,41,0.0739578194821864,46,14086.7266,277,177,399.52044,3559.7819,100,NA,242,NA,NA,5,NA,133782.48718,16101.0005,62861.86784,NA,1,NA
"26","2031",40,373,37.5071,100.27556,2,1212.91409949942,1,0.0120001028130138,163,2103.3138,210,171,85.0368,275.562,39,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"27","2032",186,340,135.41735,632.84465,10,323.2262359585,17,0.076470735980882,51,39010.9631,289,249,285.99608,3433.2037,40,65,264,65,1,33,2,133782.48718,16101.0005,62861.86784,1,4,1
"28","2033",207,289,131.1434,437.48898,1,397.844018535503,4,0.0994746886497334,37,7400.5659,252,92,1096.23412,2134.7128,160,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"29","2034",89,372,99.9413,742.59514,2,2943.20066534742,47,0.0198645199216454,149,3369.7997,223,93,142.20636,1678.0273,130,NA,NA,NA,NA,NA,NA,133782.48718,16101.0005,62861.86784,NA,NA,NA
"30","2035",227,272,249.3515,1281.04618,2,723.226245777641,30,0.0539959455778004,48,6125.3884,224,135,174.2371,2223.636,89,NA,225,NA,NA,2,NA,133782.48718,16101.0005,62861.86784,NA,2,NA
