WY,flow
2006,1740.36688
2007,2816.25337
2008,236.10143
2009,2793.80892
2010,580.45911
2011,4834.294340000001
2012,1462.4726299999998
2013,3873.3186800000003
2014,3098.90521
2015,2516.50044
2016,3285.5019199999997
2017,4175.9855
2018,3011.88882
2019,3639.32146
2020,4616.482250000001
2021,1347.5490000000002
2022,3316.07362
2023,3899.9425399999996
2024,2571.3385999999996
2025,1671.9797
2026,2701.8844499999996
2027,2624.4412700000003
2028,1261.1968500000003
2029,2797.304080000001
2030,1526.9261999999999
2031,4323.46807
2032,6519.61522
2033,2479.57614
2034,3634.77358
2035,2811.4131199999997
2036,4362.520979999999
2037,2394.55724
2038,2027.2763999999997
2039,5565.217750000001
2040,602.9093699999999
2041,1788.3393099999998
2042,2987.2046
2043,5630.038919999999
2044,3203.90578
2045,1088.8921500000001
2046,3232.21709
2047,2795.6080399999996
2048,1650.1766999999998
2049,2180.1998799999997
2050,2242.3331000000003
2051,10789.260279999999
2052,555.655
2053,1577.9254500000004
2054,908.93278
2055,3235.8647399999995
2056,4943.962460000001
2057,4696.60837
2058,2666.42244
2059,4012.33835
2060,4822.082630000001
2061,4435.010480000001
2062,541.06812
2063,3273.7250900000004
2064,840.3352299999999
2065,2958.1144600000002
2066,2384.29254
2067,1929.79889
2068,245.62211
2069,6836.16111
2070,4576.9025599999995
2071,223.9758
2072,3958.3756400000007
2073,2490.26353
2074,5473.82646
2075,3844.4623799999995
2076,1352.42994
2077,2234.76022
2078,1769.88747
2079,3798.40375
2080,9762.97994
2081,1516.4324900000001
2082,2997.05399
2083,302.42958
2084,1334.94371
2085,651.54885
2086,4229.2356899999995
2087,7180.36721
2088,2128.3401400000002
2089,3263.2164499999994
2090,6274.864629999999
2091,6651.184109999999
2092,3062.7505099999994
2093,2102.0364099999997
2094,3903.3581300000005
2095,4483.94847
2096,749.3926300000002
2097,3230.41497
2098,3045.5973500000005
2099,3038.38408
2100,2364.2433499999997
2101,54.63325000000001
