"","p10","p25","p50","p75","p90","metric","comid","result_type"
"DS_Dur_WS",91,126.75,158,193,212.7,"DS_Dur_WS",19791955,"observed"
"DS_Tim",269.4,287.5,300,332,341.6,"DS_Tim",19791955,"observed"
"DS_Mag_50",144.61676,161.105775,189.000675,233.0371,311.974305,"DS_Mag_50",19791955,"observed"
"DS_Mag_90",321.842386,509.6702375,834.01382,1408.46091,2061.364437,"DS_Mag_90",19791955,"observed"
"FA_Dur",1,2,2.5,4,6,"FA_Dur",19791955,"observed"
"FA_Mag",309.704368607157,388.614633060542,708.136827683859,2036.10304051404,4690.41821996113,"FA_Mag",19791955,"observed"
"FA_Tim",0,2,12,25.25,34.3,"FA_Tim",19791955,"observed"
"SP_ROC",0.057731472370358,0.0827112605829705,0.0944508517851649,0.106719610801598,0.124842315848572,"SP_ROC",19791955,"observed"
"SP_Dur",29,43,55,76,120.6,"SP_Dur",19791955,"observed"
"SP_Mag",4519.42408,8338.4151,16550.0151,23000.5798,32396.33704,"SP_Mag",19791955,"observed"
"SP_Tim",198.2,226.5,242,254,273.8,"SP_Tim",19791955,"observed"
"Wet_BFL_Dur",82.2,104,150,172,213.6,"Wet_BFL_Dur",19791955,"observed"
"Wet_BFL_Mag_10",137.671428,268.41401,664.39086,1581.87006,3081.85782,"Wet_BFL_Mag_10",19791955,"observed"
"Wet_BFL_Mag_50",914.20235,2434.3521,4520.65105,6901.0537,9084.9342,"Wet_BFL_Mag_50",19791955,"observed"
"Wet_Tim",39,68,94,126,146.4,"Wet_Tim",19791955,"observed"
"Peak_Tim_10",67.7,80,106.5,120.5,131,"Peak_Tim_10",19791955,"observed"
"Peak_Tim_2",78.7,112.75,134.25,172.25,227.9,"Peak_Tim_2",19791955,"observed"
"Peak_Tim_5",67,76.25,105,125.25,130.9,"Peak_Tim_5",19791955,"observed"
"Peak_Dur_10",1,1,1,1,1.1,"Peak_Dur_10",19791955,"observed"
"Peak_Dur_2",1,1.75,3,7.5,13.3,"Peak_Dur_2",19791955,"observed"
"Peak_Dur_5",1,1,1,1,2.1,"Peak_Dur_5",19791955,"observed"
"Peak_10",77220.2041,77220.2041,77220.2041,77220.2041,77220.2041,"Peak_10",19791955,"observed"
"Peak_2",30258.1863,30258.1863,30258.1863,30258.1863,30258.1863,"Peak_2",19791955,"observed"
"Peak_5",62904.2306,62904.2306,62904.2306,62904.2306,62904.2306,"Peak_5",19791955,"observed"
"Peak_Fre_10",1,1,1,1,1,"Peak_Fre_10",19791955,"observed"
"Peak_Fre_2",1,1,2,4,5,"Peak_Fre_2",19791955,"observed"
"Peak_Fre_5",1,1,1,1,2,"Peak_Fre_5",19791955,"observed"
