Date,USGS 11276500 TUOLUMNE R NR HETCH HETCHY CA,USGS 11276600 TUOLUMNE R AB EARLY INTAKE NR MATHER CA,USGS 11276900 TUOLUMNE R BL EARLY INTAKE NR MATHER CA,USGS 11277300 CHERRY C BL VALLEY DAM NR HETCH HETCHY CA,USGS 11278000 ELEANOR C NR HETCH HETCHY CA,USGS 11278200 CHERRY C CN NR EARLY INTAKE CA,USGS 11278300 CHERRY C NR EARLY INTAKE CA,USGS 11278400 CHERRY C BL DION R HOLM PH NR MATHER CA,USGS 11281000 SF TUOLUMNE R NR OAKLAND RECREATION CAMP CA,USGS 11282000 M TUOLUMNE R A OAKLAND RECREATION CAMP CA,USGS 11283250 CLAVEY R NR LONG BARN CA,USGS 11283350 REED C NR LONG BARN CA,USGS 11283500 CLAVEY R NR BUCK MEADOWS CA,USGS 11284400 BIG C AB WHITES GULCH NR GROVELAND CA,USGS 11284700 NF TUOLUMNE R NR LONG BARN CA,USGS 11289000 MODESTO CN NR LA GRANGE CA,USGS 11289500 TURLOCK CN NR LA GRANGE CA,USGS 11289650 TUOLUMNE R BL LAGRANGE DAM NR LAGRANGE CA
1975-10-01,36.0,44.0,96.0,5.7,1.6,,14.0,569.0,9.9,4.0,,,21.0,0.0,1.1,410.0,1400.0,585.0
1975-10-02,36.0,44.0,89.0,5.7,1.5,,7.7,609.0,9.7,4.0,,,21.0,0.0,1.1,451.0,1370.0,578.0
1975-10-03,36.0,44.0,85.0,5.5,3.2,,7.3,612.0,9.6,3.8,,,21.0,0.0,1.1,449.0,1400.0,581.0
1975-10-04,36.0,44.0,69.0,5.5,4.3,,8.8,565.0,9.5,3.6,,,21.0,0.0,1.1,449.0,1280.0,578.0
1975-10-05,36.0,44.0,69.0,5.7,4.3,,10.0,181.0,9.4,3.6,,,21.0,0.0,1.1,448.0,1070.0,524.0
1975-10-06,36.0,46.0,81.0,5.1,4.5,,10.0,613.0,9.9,3.7,,,22.0,0.0,1.5,448.0,1240.0,521.0
1975-10-07,36.0,48.0,77.0,5.4,4.3,,12.0,616.0,14.0,4.8,,,35.0,0.0,2.2,449.0,701.0,928.0
1975-10-08,35.0,45.0,75.0,5.4,4.1,,10.0,615.0,14.0,7.0,,,34.0,0.0,1.8,496.0,247.0,1360.0
1975-10-09,36.0,45.0,74.0,5.4,4.1,,10.0,614.0,12.0,6.8,,,30.0,0.0,1.7,448.0,253.0,1420.0
1975-10-10,37.0,51.0,79.0,6.2,4.9,,16.0,626.0,32.0,10.0,,,69.0,0.0,11.0,451.0,251.0,1380.0
1975-10-11,36.0,57.0,77.0,5.8,4.7,,26.0,584.0,64.0,50.0,,,278.0,0.42,15.0,457.0,245.0,1320.0
1975-10-12,36.0,48.0,72.0,5.6,4.7,,13.0,191.0,34.0,37.0,,,135.0,0.26,6.3,456.0,250.0,1160.0
1975-10-13,36.0,47.0,81.0,5.5,4.6,,13.0,591.0,27.0,26.0,,,96.0,0.17,5.3,372.0,252.0,1400.0
1975-10-14,35.0,46.0,73.0,5.4,4.4,,12.0,620.0,21.0,21.0,,,83.0,0.14,4.4,304.0,253.0,1510.0
1975-10-15,35.0,45.0,73.0,5.4,4.4,,12.0,615.0,20.0,19.0,,,78.0,0.13,3.9,250.0,254.0,1570.0
1975-10-16,35.0,44.0,73.0,5.4,4.4,,11.0,618.0,19.0,18.0,,,73.0,0.12,3.4,205.0,252.0,1660.0
1975-10-17,35.0,44.0,74.0,5.4,4.4,,11.0,622.0,18.0,17.0,,,66.0,0.11,3.1,20.0,277.0,1910.0
1975-10-18,35.0,44.0,64.0,5.8,4.4,,11.0,565.0,17.0,16.0,,,59.0,0.1,2.9,16.0,341.0,1870.0
1975-10-19,35.0,44.0,61.0,6.5,4.3,,11.0,176.0,16.0,14.0,,,52.0,0.1,2.8,16.0,349.0,1690.0
1975-10-20,34.0,44.0,75.0,6.6,4.1,,11.0,617.0,15.0,13.0,,,47.0,0.09,2.8,7.6,555.0,1660.0
1975-10-21,34.0,44.0,73.0,6.6,4.1,,10.0,620.0,15.0,11.0,,,43.0,0.09,2.8,0.01,723.0,1550.0
1975-10-22,35.0,45.0,75.0,6.6,4.1,,11.0,628.0,14.0,11.0,,,42.0,0.09,2.9,0.01,830.0,1460.0
1975-10-23,36.0,45.0,74.0,6.6,4.1,,10.0,631.0,14.0,11.0,,,43.0,0.09,2.8,0.01,872.0,1600.0
1975-10-24,36.0,46.0,75.0,5.6,4.5,,10.0,633.0,15.0,11.0,,,43.0,0.08,2.8,0.0,873.0,1430.0
1975-10-25,36.0,46.0,65.0,4.8,4.8,,11.0,576.0,15.0,10.0,,,40.0,0.08,2.8,0.0,873.0,1360.0
1975-10-26,38.0,58.0,81.0,5.6,7.0,,22.0,202.0,23.0,20.0,,,222.0,0.14,11.0,0.0,514.0,513.0
1975-10-27,37.0,70.0,105.0,5.2,6.5,,30.0,211.0,96.0,144.0,,,494.0,1.2,15.0,0.0,866.0,1400.0
1975-10-28,36.0,51.0,85.0,5.0,7.2,,15.0,636.0,43.0,46.0,,,163.0,0.43,7.2,0.0,872.0,1520.0
