Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2044-01-01,-4.51,-4.6,-4.59,-4.6,-4.61,-4.61,-4.61,-4.61,-4.61,-4.6,-4.6,-4.6,-4.62,-4.61,-4.63,-4.61,-4.61,-3.27,2.18,2.18,2.17,2.19,3.73,7.27
2044-01-02,7.85,7.8,7.87,7.96,7.94,7.95,7.8,7.94,7.94,7.78,7.8,7.82,7.86,7.93,7.8,7.7,36.71,41.42,41.27,41.27,41.33,41.36,41.24,41.28
2044-01-03,41.39,41.29,41.29,41.3,41.36,41.33,41.3,41.32,41.32,41.34,41.37,41.32,41.14,41.38,41.36,41.37,41.37,41.25,41.23,41.32,41.24,35.72,25.53,24.72
2044-01-04,24.74,25.0,25.5,25.63,25.61,25.51,25.63,25.43,25.51,25.57,13.35,7.57,8.12,12.26,13.25,13.25,13.22,13.24,13.22,13.03,13.07,13.06,5.78,-2.9
2044-01-05,-1.29,3.94,4.83,4.79,4.79,4.68,4.67,4.73,4.7,4.68,4.79,4.77,4.76,4.68,4.78,4.61,4.58,6.69,6.74,6.71,6.73,6.76,6.69,6.67
2044-01-06,6.7,6.76,6.74,6.74,6.69,6.72,6.75,6.64,6.74,6.75,6.56,6.74,6.55,6.59,6.74,6.57,25.28,25.36,25.28,25.34,25.36,25.35,25.36,25.36
2044-01-07,25.25,25.24,25.25,25.27,25.26,25.32,25.25,25.33,25.23,25.32,20.13,11.7,12.5,2.35,2.59,2.65,7.39,11.91,11.91,12.06,11.84,11.83,7.89,-1.08
2044-01-08,-13.03,-21.13,-16.79,-15.99,-15.69,-15.26,-15.24,-15.26,-15.37,-15.4,-15.39,-15.31,-15.36,-15.46,-15.38,-15.38,-15.31,-15.29,-15.32,-15.45,-15.45,-15.3,-15.45,-15.31
2044-01-09,-15.34,-15.32,-15.49,-15.4,-15.32,-15.32,-15.38,-15.32,-15.42,-15.32,-15.43,-15.32,-15.34,-15.34,-15.43,-15.34,-15.33,-12.37,-12.47,-12.37,-12.35,-12.45,-12.44,-12.43
2044-01-10,-12.46,-12.37,-12.36,-12.46,-12.44,-12.41,-12.36,-12.35,-12.36,-12.35,-12.36,-12.44,-12.45,-12.36,-12.37,-12.38,-12.43,-12.43,-12.37,-12.36,-12.36,-12.37,-12.36,-12.36
2044-01-11,-12.35,-12.35,-12.43,-12.37,-12.36,-12.38,-12.35,-12.35,-12.46,-12.37,-12.36,-12.54,-12.48,-12.35,-12.37,-12.51,-12.49,-12.44,-12.38,-12.38,-12.46,-12.4,-12.38,-12.47
2044-01-12,-12.4,-12.47,-12.41,-12.42,-12.41,-12.41,-12.43,-12.35,-12.37,-12.45,-12.42,-12.37,-12.37,-12.36,-12.4,-12.38,-12.39,4.87,33.29,33.22,33.27,33.28,33.28,33.24
2044-01-13,33.28,33.27,33.29,33.22,33.24,33.28,33.19,33.29,33.21,33.19,33.25,33.13,33.14,33.23,33.12,33.22,44.48,45.24,45.24,45.26,45.3,45.28,45.3,45.28
2044-01-14,45.25,45.3,45.29,45.3,45.21,45.17,45.18,45.24,45.18,28.03,20.35,20.35,20.35,20.34,20.36,20.36,40.56,40.45,40.3,40.07,39.94,39.75,39.56,39.41
2044-01-15,39.26,39.2,39.05,38.92,38.75,38.52,38.35,38.2,28.07,28.11,20.34,20.36,20.36,20.35,20.35,20.35,28.13,28.14,28.14,28.14,28.13,28.13,28.14,28.15
2044-01-16,28.14,28.13,28.14,28.13,28.14,28.14,28.13,28.13,28.14,28.14,20.35,20.36,20.36,20.36,20.35,25.17,28.13,28.13,28.11,28.15,28.13,28.12,28.13,28.12
2044-01-17,28.14,28.15,28.13,28.15,28.13,28.14,28.11,28.14,28.13,27.05,20.84,20.34,20.36,20.36,20.35,20.35,28.15,28.02,27.97,27.89,27.85,27.64,27.57,27.52
2044-01-18,27.36,27.34,27.17,27.15,27.13,27.13,27.12,27.13,27.12,3.79,4.61,16.8,17.63,17.67,17.55,17.66,17.54,17.52,17.52,17.64,17.64,17.55,17.53,17.61
2044-01-19,17.6,17.56,17.57,17.57,17.63,17.62,17.48,17.5,17.51,17.58,17.63,17.63,17.61,17.54,17.49,17.52,17.49,28.73,28.73,28.74,28.59,28.75,28.69,28.61
2044-01-20,28.67,28.63,28.64,28.69,28.72,28.68,28.7,28.62,28.73,28.63,28.61,28.71,20.35,20.36,20.35,26.58,28.59,38.42,38.37,38.44,38.35,38.43,38.44,38.36
2044-01-21,38.42,38.35,38.36,38.42,38.44,38.42,38.37,38.36,38.43,38.38,28.51,22.59,20.35,20.36,20.34,35.49,38.42,38.37,38.38,38.42,38.44,38.42,38.44,38.37
2044-01-22,38.43,38.41,38.35,38.43,38.44,38.31,38.32,38.41,30.51,1.88,2.11,17.3,17.58,17.84,17.57,17.69,17.82,17.69,17.71,17.74,17.71,17.74,17.77,17.75
2044-01-23,17.77,17.78,17.8,17.79,17.8,17.73,17.7,17.79,-8.76,5.17,17.74,17.71,17.54,17.49,17.61,17.5,17.55,17.53,20.15,20.05,20.1,20.06,20.14,20.08
2044-01-24,20.06,20.13,20.61,22.71,22.74,22.78,22.77,22.68,22.7,22.69,22.76,22.78,22.61,22.63,22.76,22.66,24.17,24.13,24.15,24.11,24.16,24.06,24.07,24.06
2044-01-25,24.1,24.11,24.15,24.16,24.16,24.07,24.09,24.14,24.15,24.09,24.16,24.16,20.36,24.16,24.01,30.18,39.08,39.12,39.17,39.16,39.1,39.13,39.15,39.07
2044-01-26,39.17,39.12,39.06,39.11,39.15,39.03,39.03,39.1,39.12,39.1,35.36,28.15,28.4,28.55,28.95,34.65,35.31,35.38,35.36,35.15,35.34,35.16,30.6,27.56
2044-01-27,20.81,13.16,5.87,-0.2,-1.01,-0.99,-0.11,-0.1,-24.96,-21.98,-13.49,-12.85,-12.8,-12.79,-12.93,-12.83,-12.93,-12.95,-12.87,-12.84,-12.85,-12.94,-12.94,-12.84
