,Shaver Lake,Redinger Lake,Mammoth Pool Reservoir,Lake Thomas A Edison,Kerckhoff Lake,Huntington Lake,Florence Lake,Bass Lake
1981-10-01,86.5162872,28.407044399999997,49.894265999999995,94.4475636,,108.34888319999999,28.9127712,32.958585600000006
1981-10-02,86.5162872,26.334798,49.2528564,94.3118808,,107.806152,28.0740048,32.958585600000006
1981-10-03,86.528622,24.644930399999996,48.660786,94.3118808,,107.31276000000001,27.259908000000003,32.983255199999995
1981-10-04,86.5162872,22.9057236,47.920698,94.3118808,,106.77002879999999,26.433476399999996,32.933915999999996
1981-10-05,86.4916176,21.696913199999997,46.872240000000005,94.3118808,,106.3013064,25.570040399999996,32.933915999999996
1981-10-06,86.466948,20.475768,45.7127688,94.34888520000001,,105.709236,24.7436088,32.9215812
1981-10-07,86.4546132,22.696032000000002,45.5894208,94.41055920000001,,105.1665048,23.929512,32.933915999999996
1981-10-08,86.4546132,24.8669568,45.09602879999999,94.422894,,104.69778240000001,22.7700408,32.933915999999996
1981-10-09,86.4299436,26.9762076,44.5162932,94.4475636,,104.8334652,21.3885432,32.933915999999996
1981-10-10,86.4546132,27.938321999999996,44.2695972,94.50923759999999,,105.08016119999999,20.0563848,32.958585600000006
1981-10-11,86.5162872,27.938321999999996,44.5656324,94.57091159999999,,105.28985279999999,18.810570000000002,33.007924800000005
1981-10-12,86.528622,28.296031199999998,44.8123284,94.58324640000001,,105.2035092,17.626429199999997,33.057264
1981-10-13,86.5162872,28.604401199999998,44.294266799999995,94.58324640000001,,105.3021876,16.479292800000003,33.0819336
1981-10-14,86.5162872,29.085458399999997,43.850214,94.58324640000001,,105.08016119999999,15.467839199999998,33.0819336
1981-10-15,86.4916176,29.3321544,43.1718,94.546242,,105.0678264,14.4687204,33.094268400000004
1981-10-16,86.466948,29.2828152,42.5920644,94.546242,,105.0678264,13.4942712,33.0819336
1981-10-17,86.4546132,29.110128000000003,42.7277472,94.5339072,,105.0678264,12.5444916,32.99559
1981-10-18,86.4299436,28.98678,42.8510952,94.607916,,104.9938176,11.62431552,33.007924800000005
1981-10-19,86.4299436,29.023784399999997,44.047570799999995,94.6449204,,104.8581348,10.70907336,32.8599072
1981-10-20,86.4176088,29.171802000000003,43.49250479999999,94.6942596,,104.74712159999999,9.80863296,32.489863199999995
1981-10-21,86.3929392,29.504841600000002,43.5788484,94.6942596,,104.6484432,8.93286216,32.144488800000005
1981-10-22,86.3929392,29.3321544,43.418496000000005,94.6942596,,104.6484432,8.01391956,31.774444800000005
1981-10-23,86.3682696,29.443167600000002,43.5171744,94.7065944,,104.62377359999999,7.07647476,31.3797312
1981-10-24,86.3559348,29.3814936,43.5171744,94.6942596,,104.62377359999999,6.136563,31.0096872
1981-10-25,86.3312652,29.566515600000002,43.9365576,94.6942596,,104.599104,5.19665124,30.627308399999997
1981-10-26,86.3189304,29.998233600000002,43.788540000000005,94.6449204,,104.52509520000001,4.28387604,30.220259999999996
1981-10-27,85.8008688,30.565634399999997,43.430830799999995,94.66959,,104.38941240000001,3.42414048,29.850215999999996
1981-10-28,86.1709128,30.52863,43.8255444,94.792938,,104.4880908,3.17991144,29.850215999999996
1981-10-29,86.3189304,30.5162952,43.541844,94.8792816,,104.38941240000001,2.52616704,29.6158548
1981-10-30,86.02289520000001,30.1462512,43.2211392,94.9286208,,103.92069000000001,1.87982352,29.356824
1981-10-31,86.02289520000001,30.2695992,43.9612272,94.9902948,,103.118928,1.50854604,28.98678
1981-11-01,86.02289520000001,30.343608000000003,44.7506544,95.03963399999999,,102.132144,1.4431716,28.641405600000002
1981-11-02,86.02289520000001,31.281052799999998,44.787658799999996,95.1136428,,101.022012,1.16440512,28.308365999999996
1981-11-03,85.4678292,30.0475728,45.651094799999996,95.1136428,,101.24403840000001,1.15700424,27.999996000000003
1981-11-04,84.92509799999999,27.716295600000002,46.2184956,95.1136428,,101.41672559999999,1.14960336,27.629952000000003
1981-11-05,84.70307159999999,26.5321548,46.958583600000004,95.1136428,,101.5894128,1.14220248,27.284577600000002
1981-11-06,84.70307159999999,25.1753268,47.6493324,95.1383124,,101.8114392,1.13850204,27.148894800000004
1981-11-07,84.70307159999999,23.830833600000002,48.327746399999995,95.162982,,102.0211308,1.12986768,27.185899199999998
1981-11-08,84.70307159999999,20.969160000000002,48.9938256,95.162982,,102.2061528,1.12493376,27.222903600000002
1981-11-09,84.6907368,20.9938296,49.561226399999995,95.1999864,,102.3911748,1.11876636,27.235238399999997
1981-11-10,84.6660672,21.0184992,50.128627200000004,95.1999864,,102.563862,1.11753288,27.2722428
1981-11-11,84.6660672,21.0431688,50.671358399999995,95.22465600000001,,102.72421440000001,1.11753288,27.284577600000002
1981-11-12,84.863424,20.7347988,51.2757636,95.32333440000001,,102.7858884,1.12986768,27.383256
1981-11-13,85.8995472,20.7471336,53.742723600000005,95.7303828,,103.5259764,1.43823768,27.7656348
1981-11-14,87.207036,21.9066048,69.03787559999999,96.026418,,105.59822279999999,1.56775308,29.060788800000005
1981-11-15,87.8607804,21.400878,72.713646,96.1991052,,105.89425800000001,1.40246676,29.2211412
1981-11-16,88.5515292,19.920702,73.78677359999999,96.334788,,106.0669452,1.32969144,29.233476
1981-11-17,88.9585776,17.453742000000002,76.75946040000001,96.55681440000001,,106.73302439999999,1.30872228,29.233476
1981-11-18,89.1559344,15.4061652,79.1154072,96.6801624,,107.28809040000002,1.27171788,29.110128000000003
1981-11-19,89.3162868,12.6061656,80.8299444,96.766506,,107.7691476,1.25444916,28.8757668
1981-11-20,89.4766392,10.1022012,82.3717944,96.82818,,108.1885308,1.2396473999999997,28.604401199999998
1981-11-21,89.08192559999999,7.7894262,83.629944,96.9268584,,107.991174,1.22977956,28.320700800000004
1981-11-22,89.09426040000001,8.97850092,82.9885344,97.0255368,,106.99205520000001,1.22237868,28.0740048
1981-11-23,89.2176084,12.3101304,80.60791800000001,97.1118804,,105.98060159999999,1.22361216,27.8519784
1981-11-24,89.3162868,15.2211432,78.47399759999999,97.17355440000001,,105.00615239999999,1.22361216,27.691626
1981-11-25,89.3779608,16.9726848,77.0925,97.198224,,103.87135079999999,1.19770908,27.629952000000003
1981-11-26,89.4766392,18.3048432,75.9700332,97.23522840000001,,102.74888399999999,1.18167384,27.7779696
1981-11-27,89.6246568,19.5876624,73.638756,97.321572,,101.6880912,1.17303948,27.716295600000002
1981-11-28,89.6863308,20.4264288,72.05990159999999,97.3585764,,100.6396332,1.17303948,27.506604
1981-11-29,89.72333520000001,21.3515388,70.0123248,97.39558079999999,,99.5541708,1.19770908,27.284577600000002
1981-11-30,89.57531759999999,22.4740056,67.8907392,97.48192440000001,,98.5920564,1.19400864,27.074886
