,Shaver Lake,Redinger Lake,Millerton Lake,Mammoth Pool Reservoir,Lake Thomas A Edison,Kerckhoff Lake,Huntington Lake,Florence Lake,Bass Lake
1981-10-01,132.44185581830914,32.21,0.0,5.0,153.99515805336253,4.6,37.0,1.25,27.0
1981-10-31,89.65381160922358,32.21,0.0,5.0,129.64896043886213,4.6,37.0,1.25,32.419475640949585
1981-11-30,45.39506796984531,32.21,0.0,5.0,95.99371478900986,4.6,37.0,1.25,27.0
1981-12-30,2.3192324258994645,32.21,0.0,5.0,62.15928846921479,4.6,37.0,1.25,38.433985866101075
1982-01-29,0.47,32.21,0.0,5.0,27.494005883619714,4.6,37.0,1.25,55.61
1982-02-28,0.47,32.21,0.0,30.95554678876404,8.0,4.6,37.0,1.25,55.61
1982-03-30,87.22022409180971,32.21,0.0,147.89,20.106527929768376,4.6,37.0,1.25,55.61
1982-04-29,167.16,32.21,0.0,147.89,84.07905090768591,4.6,109.94,79.41,55.61
1982-05-29,167.16,32.21,0.0,147.89,154.17,4.6,109.94,79.41,55.61
1982-06-28,167.16,32.21,0.0,147.89,154.17,4.6,109.94,79.41,55.37892060943621
1982-07-28,167.16,32.21,0.0,96.6169912868711,154.17,4.6,109.94,38.29650434063519,44.27945861106348
1982-08-27,167.16,32.21,0.0,17.237277924412226,154.17,4.6,95.51548001005568,1.25,34.193577674641354
1982-09-26,167.16,32.21,0.0,147.89,154.17,4.6,109.94,59.60995272734283,38.17042783788563
