,Shaver Lake,Redinger Lake,Millerton Lake,Mammoth Pool Reservoir,Lake Thomas A Edison,Kerckhoff Lake,Huntington Lake,Florence Lake,Bass Lake
1981-10-01,96.07309297358992,32.21,0.0,39.716098839790064,153.25238573765992,4.6,104.68925627208178,46.358954296676586,27.0
1981-10-02,100.70120330801682,32.21,0.0,34.92524268647696,153.24543726578472,4.6,100.89458759606642,42.718604312805084,27.0
1981-10-03,105.32447989063306,32.21,0.0,30.146038102856913,153.2414938414237,4.6,97.10269135497181,39.08103490953056,27.0
1981-10-04,109.9475664373173,32.21,0.0,25.35998577030525,153.23441042574652,4.6,93.30212167202274,35.43995093594156,27.0
1981-10-05,114.57065084222211,32.21,0.0,20.542453153042022,153.22685472274128,4.6,89.5013489198091,31.798765494626704,27.0
1981-10-06,119.19655829921095,32.21,0.0,15.759513730605958,153.22112312165052,4.6,85.70448259945051,28.158363468465673,27.0
1981-10-07,123.819779215112,32.21,0.0,11.040173248728387,153.21857461284236,4.6,81.91178506451948,24.521142783091566,27.0
1981-10-08,128.4428571993938,32.21,0.0,6.237426890654271,153.21189068033914,4.6,78.11098678656819,20.879666679488892,27.0
1981-10-09,133.07446981679155,32.21,0.0,5.0,153.20826493802363,4.6,74.31708651476667,17.245000173013846,27.0
1981-10-10,137.74646997236022,32.21,0.0,5.0,153.2370557106701,4.6,70.64511155820247,13.666785059998588,27.0
1981-10-11,142.52888055039588,32.21,0.0,5.0,153.24874365341387,4.6,66.97831448415545,10.042752972869977,27.0
1981-10-12,147.21375280834008,32.21,0.0,5.0,153.2429939225126,4.6,63.21211352371659,6.40339276272114,27.0
1981-10-13,151.84481205740093,32.21,0.0,5.0,153.23536555585935,4.6,59.41192325249185,2.7619415641118588,27.0
1981-10-14,156.4730971466101,32.21,0.0,5.0,153.22819211412005,4.6,53.48676998939697,1.25,27.0
1981-10-15,161.10170626332004,32.21,0.0,5.0,153.22190912017723,4.6,46.05435538161395,1.25,27.0
1981-10-16,165.7294775100683,32.21,0.0,5.0,153.2183092767915,4.6,38.6412348385929,1.25,27.0
1981-10-17,164.67879165516476,32.21,0.0,5.0,153.22685712863432,4.6,37.0,1.25,27.0
1981-10-18,163.1573338478003,32.21,0.0,5.0,152.26698387168642,4.6,37.0,1.25,27.0
1981-10-19,161.6353473832262,32.21,0.0,5.0,151.40042581629106,4.6,37.0,1.25,27.0
1981-10-20,160.1133598178124,32.21,0.0,5.0,150.49078025430833,4.6,37.0,1.25,27.0
